source_row_index,rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,green_rate_numeric,red_rate_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
10,11,anthropic/claude-opus-4.5@reasoning=none,anthropic,none,1.67,0.79,0.11,79,10,11,100,0,bullshit_bench,bullshit_bench:0010:anthropic_claude_opus_4_5_reasoning_none,anthropic/claude-opus-4.5@reasoning=none,anthropic/claude-opus-4.5@reasoning=none,1.67,0.79,0.11,BullshitBench avg_score,claude-opus-4-5,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=none maps to elo claude-opus-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
11,12,anthropic/claude-haiku-4.5@reasoning=high,anthropic,high,1.64,0.77,0.11,77,12,11,100,0,bullshit_bench,bullshit_bench:0011:anthropic_claude_haiku_4_5_reasoning_high,anthropic/claude-haiku-4.5@reasoning=high,anthropic/claude-haiku-4.5@reasoning=high,1.64,0.77,0.11,BullshitBench avg_score,claude-haiku-4-5_thinking_16000,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=high maps to elo claude-haiku-4-5_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
12,13,anthropic/claude-haiku-4.5@reasoning=none,anthropic,none,1.6267,0.71,0.08,71,21,8,100,0,bullshit_bench,bullshit_bench:0012:anthropic_claude_haiku_4_5_reasoning_none,anthropic/claude-haiku-4.5@reasoning=none,anthropic/claude-haiku-4.5@reasoning=none,1.6267,0.71,0.08,BullshitBench avg_score,claude-haiku-4-5,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=none maps to elo claude-haiku-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
13,14,anthropic/claude-opus-4.7@reasoning=max,anthropic,max,1.6167,0.74,0.11,74,15,11,100,0,bullshit_bench,bullshit_bench:0013:anthropic_claude_opus_4_7_reasoning_max,anthropic/claude-opus-4.7@reasoning=max,anthropic/claude-opus-4.7@reasoning=max,1.6167,0.74,0.11,BullshitBench avg_score,claude-opus-4-7_adaptive-thinking-high,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=max,reasoning_or_configured,max,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.7 reasoning=max maps to elo claude-opus-4-7_adaptive-thinking-high with a reasoning-config caveat.,none row has no non-reasoning opus-4.7 counterpart; max mapped to the adaptive-thinking-high run (effort label differs).,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
14,15,anthropic/claude-sonnet-4.5@reasoning=none,anthropic,none,1.59,0.74,0.13,74,13,13,100,0,bullshit_bench,bullshit_bench:0014:anthropic_claude_sonnet_4_5_reasoning_none,anthropic/claude-sonnet-4.5@reasoning=none,anthropic/claude-sonnet-4.5@reasoning=none,1.59,0.74,0.13,BullshitBench avg_score,claude-sonnet-4-5,variant-compatible,reviewed_2026_05,medium,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-sonnet-4.5 reasoning=none maps to elo claude-sonnet-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,anthropic
15,16,qwen/qwen3.7-max@reasoning=none,qwen,none,1.5667,0.71,0.13,71,16,13,100,0,bullshit_bench,bullshit_bench:0015:qwen_qwen3_7_max_reasoning_none,qwen/qwen3.7-max@reasoning=none,qwen/qwen3.7-max@reasoning=none,1.5667,0.71,0.13,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.7-max reasoning=none.,No qwen3.7 family in elo_refined.csv.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
16,17,qwen/qwen3.6-plus@reasoning=none,qwen,none,1.5567,0.72,0.14,72,14,14,100,0,bullshit_bench,bullshit_bench:0016:qwen_qwen3_6_plus_reasoning_none,qwen/qwen3.6-plus@reasoning=none,qwen/qwen3.6-plus@reasoning=none,1.5567,0.72,0.14,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.6-plus reasoning=none.,"Only a local 27B qwen3.6 quant in elo, not the hosted Plus model.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
17,18,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.5267,0.69,0.15,69,16,15,100,0,bullshit_bench,bullshit_bench:0017:qwen_qwen3_5_397b_a17b_reasoning_none,qwen/qwen3.5-397b-a17b@reasoning=none,qwen/qwen3.5-397b-a17b@reasoning=none,1.5267,0.69,0.15,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.5-397b-a17b reasoning=none.,"Only a 9B qwen3.5 distill in elo, not the hosted 397B-A17B model.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
18,19,qwen/qwen3-max-thinking@reasoning=high,qwen,high,1.5033,0.63,0.08,63,29,8,100,0,bullshit_bench,bullshit_bench:0018:qwen_qwen3_max_thinking_reasoning_high,qwen/qwen3-max-thinking@reasoning=high,qwen/qwen3-max-thinking@reasoning=high,1.5033,0.63,0.08,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3-max-thinking reasoning=high.,"qwen-max in elo is the older non-reasoning Qwen-Max, not Qwen3-Max-Thinking.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
19,20,moonshotai/kimi-k2.6@reasoning=none,moonshotai,none,1.4933,0.65,0.14,65,21,14,100,0,bullshit_bench,bullshit_bench:0019:moonshotai_kimi_k2_6_reasoning_none,moonshotai/kimi-k2.6@reasoning=none,moonshotai/kimi-k2.6@reasoning=none,1.4933,0.65,0.14,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,moonshotai,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench moonshotai/kimi-k2.6 reasoning=none.,"Only kimi-k2.5 and kimi-k2 in elo, not k2.6.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",moonshotai
20,21,x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh,x-ai,xhigh,1.4333,0.64,0.2,64,16,20,100,0,bullshit_bench,bullshit_bench:0020:x_ai_grok_4_20_multi_agent_beta_reasoning_xhigh,x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh,x-ai/grok-4.20-multi-agent-beta@reasoning=xhigh,1.4333,0.64,0.2,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,x-ai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench x-ai/grok-4.20-multi-agent-beta reasoning=xhigh.,Multi-agent beta is a distinct system from the single-model grok-4-20 runs in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",x-ai
21,22,x-ai/grok-4.20-multi-agent-beta@reasoning=low,x-ai,low,1.43,0.67,0.19,67,14,19,100,0,bullshit_bench,bullshit_bench:0021:x_ai_grok_4_20_multi_agent_beta_reasoning_low,x-ai/grok-4.20-multi-agent-beta@reasoning=low,x-ai/grok-4.20-multi-agent-beta@reasoning=low,1.43,0.67,0.19,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,x-ai,bullshit_bench_v2_2026_05,reasoning=low,reasoning_or_configured,low,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench x-ai/grok-4.20-multi-agent-beta reasoning=low.,Multi-agent beta is a distinct system from the single-model grok-4-20 runs in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",x-ai
22,23,xiaomi/mimo-v2.5-pro@reasoning=xhigh,xiaomi,xhigh,1.4233,0.62,0.15,62,23,15,100,0,bullshit_bench,bullshit_bench:0022:xiaomi_mimo_v2_5_pro_reasoning_xhigh,xiaomi/mimo-v2.5-pro@reasoning=xhigh,xiaomi/mimo-v2.5-pro@reasoning=xhigh,1.4233,0.62,0.15,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,xiaomi,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench xiaomi/mimo-v2.5-pro reasoning=xhigh.,No Xiaomi MiMo models in elo.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",xiaomi
23,24,qwen/qwen3.6-plus@reasoning=xhigh,qwen,xhigh,1.4167,0.59,0.14,59,27,14,100,0,bullshit_bench,bullshit_bench:0023:qwen_qwen3_6_plus_reasoning_xhigh,qwen/qwen3.6-plus@reasoning=xhigh,qwen/qwen3.6-plus@reasoning=xhigh,1.4167,0.59,0.14,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.6-plus reasoning=xhigh.,"Only a local 27B qwen3.6 quant in elo, not the hosted Plus model.",cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
24,25,qwen/qwen3.7-max@reasoning=xhigh,qwen,xhigh,1.3333,0.56,0.23,56,21,23,100,0,bullshit_bench,bullshit_bench:0024:qwen_qwen3_7_max_reasoning_xhigh,qwen/qwen3.7-max@reasoning=xhigh,qwen/qwen3.7-max@reasoning=xhigh,1.3333,0.56,0.23,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,qwen,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench qwen/qwen3.7-max reasoning=xhigh.,No qwen3.7 family in elo_refined.csv.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",qwen
25,26,x-ai/grok-4.3@reasoning=minimal,x-ai,minimal,1.3033,0.5,0.19,50,31,19,100,0,bullshit_bench,bullshit_bench:0025:x_ai_grok_4_3_reasoning_minimal,x-ai/grok-4.3@reasoning=minimal,x-ai/grok-4.3@reasoning=minimal,1.3033,0.5,0.19,BullshitBench avg_score,,unmatched,reviewed_2026_05,none,x-ai,bullshit_bench_v2_2026_05,reasoning=minimal,reasoning_or_configured,minimal,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,No clear elo counterpart for BullshitBench x-ai/grok-4.3 reasoning=minimal.,No grok-4.3 in elo_refined.csv.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",x-ai
26,27,x-ai/grok-4.20-beta@reasoning=xhigh,x-ai,xhigh,1.27,0.54,0.25,54,21,25,100,0,bullshit_bench,bullshit_bench:0026:x_ai_grok_4_20_beta_reasoning_xhigh,x-ai/grok-4.20-beta@reasoning=xhigh,x-ai/grok-4.20-beta@reasoning=xhigh,1.27,0.54,0.25,BullshitBench avg_score,,ambiguous,reviewed_2026_05,low,x-ai,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,,,,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench x-ai/grok-4.20-beta identity/config against elo is genuinely uncertain; held out of analysis.,Preview 'beta' tag and effort levels (low/xhigh) do not cleanly equal the released grok-4-20-reasoning run; held ambiguous.,cross_ref_bullshit_bench_2026_05,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",accepted_mapping_rows,mapping,"Mapping status is ambiguous, so this row is excluded until one LLM Chess player is chosen.",x-ai
