source_row_index,Model,Score,90% CI,llm_chess_model,eci_ci_low,eci_ci_high,eci_ci90_half_width,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,score_label,source_llm_chess_model
20,Claude Sonnet 4.5,147.0,,claude-sonnet-4-5_thinking_16000,,,,eci,eci:0020,Claude Sonnet 4.5,Claude Sonnet 4.5,147.0,ECI,claude-sonnet-4-5_thinking_16000
21,o4-mini,147.0,,o4-mini-high,,,,eci,eci:0021,o4-mini,o4-mini,147.0,ECI,o4-mini-high
22,Gemini 2.5 Pro (Jun 2025),147.0,(145 - 149),gemini-2.5-pro,145.0,149.0,2.0,eci,eci:0022,Gemini 2.5 Pro (Jun 2025),Gemini 2.5 Pro (Jun 2025),147.0,ECI,gemini-2.5-pro
23,GLM-5,146.0,(144 - 148),zai.glm-5,144.0,148.0,2.0,eci,eci:0023,GLM-5,GLM-5,146.0,ECI,zai.glm-5
24,DeepSeek-V3.2,146.0,(144 - 148),,144.0,148.0,2.0,eci,eci:0024,DeepSeek-V3.2,DeepSeek-V3.2,146.0,ECI,
25,GPT-5 mini,145.0,,gpt-5-mini-high,,,,eci,eci:0025,GPT-5 mini,GPT-5 mini,145.0,ECI,gpt-5-mini-high
26,Qwen3-235B-A22B-Thinking (Jul 2025),145.0,(143 - 149),,143.0,149.0,3.0,eci,eci:0026,Qwen3-235B-A22B-Thinking (Jul 2025),Qwen3-235B-A22B-Thinking (Jul 2025),145.0,ECI,
27,Kimi K2 Thinking,145.0,(143 - 147),,143.0,147.0,2.0,eci,eci:0027,Kimi K2 Thinking,Kimi K2 Thinking,145.0,ECI,
28,DeepSeek-V3.2-Exp,145.0,(140 - 148),,140.0,148.0,4.0,eci,eci:0028,DeepSeek-V3.2-Exp,DeepSeek-V3.2-Exp,145.0,ECI,
29,Grok 4 Fast,145.0,(142 - 148),grok-4-fast-reasoning,142.0,148.0,3.0,eci,eci:0029,Grok 4 Fast,Grok 4 Fast,145.0,ECI,grok-4-fast-reasoning
30,Claude Opus 4.1,145.0,(142 - 146),claude-opus-4-1,142.0,146.0,2.0,eci,eci:0030,Claude Opus 4.1,Claude Opus 4.1,145.0,ECI,claude-opus-4-1
31,GLM-4.7,144.0,(142 - 146),,142.0,146.0,2.0,eci,eci:0031,GLM-4.7,GLM-4.7,144.0,ECI,
32,Qwen3-Max,144.0,(140 - 155),,140.0,155.0,7.5,eci,eci:0032,Qwen3-Max,Qwen3-Max,144.0,ECI,
33,Gemini 2.5 Flash (Sep 2025),143.0,(139 - 146),gemini-2.5-flash,139.0,146.0,3.5,eci,eci:0033,Gemini 2.5 Flash (Sep 2025),Gemini 2.5 Flash (Sep 2025),143.0,ECI,gemini-2.5-flash
34,Claude Opus 4,143.0,(141 - 145),claude-opus-4_thinking_16000,141.0,145.0,2.0,eci,eci:0034,Claude Opus 4,Claude Opus 4,143.0,ECI,claude-opus-4_thinking_16000
35,Claude Haiku 4.5,143.0,(140 - 145),claude-haiku-4-5_thinking_16000,140.0,145.0,2.5,eci,eci:0035,Claude Haiku 4.5,Claude Haiku 4.5,143.0,ECI,claude-haiku-4-5_thinking_16000
36,Gemini 2.5 Pro (Mar 2025),143.0,,gemini-2.5-pro-preview-03-25,,,,eci,eci:0036,Gemini 2.5 Pro (Mar 2025),Gemini 2.5 Pro (Mar 2025),143.0,ECI,gemini-2.5-pro-preview-03-25
37,o1,143.0,,o1-medium,,,,eci,eci:0037,o1,o1,143.0,ECI,o1-medium
38,Claude Sonnet 4,142.0,(139 - 144),claude-sonnet-4_thinking_16000,139.0,144.0,2.5,eci,eci:0038,Claude Sonnet 4,Claude Sonnet 4,142.0,ECI,claude-sonnet-4_thinking_16000
39,DeepSeek-R1 (May 2025),142.0,,deepseek-r1-0528,,,,eci,eci:0039,DeepSeek-R1 (May 2025),DeepSeek-R1 (May 2025),142.0,ECI,deepseek-r1-0528
40,Claude 3.7 Sonnet,142.0,(140 - 144),claude-3-7-sonnet_thinking_10000,140.0,144.0,2.0,eci,eci:0040,Claude 3.7 Sonnet,Claude 3.7 Sonnet,142.0,ECI,claude-3-7-sonnet_thinking_10000
41,o3-mini,141.0,,o3-mini-high,,,,eci,eci:0041,o3-mini,o3-mini,141.0,ECI,o3-mini-high
42,GLM-4.6,141.0,,,,,,eci,eci:0042,GLM-4.6,GLM-4.6,141.0,ECI,
43,Grok-3 mini,141.0,,grok-3-mini-beta-high,,,,eci,eci:0043,Grok-3 mini,Grok-3 mini,141.0,ECI,grok-3-mini-beta-high
44,gpt-oss-120b,141.0,(136 - 143),gpt-oss-120b-high,136.0,143.0,3.5,eci,eci:0044,gpt-oss-120b,gpt-oss-120b,141.0,ECI,gpt-oss-120b-high
45,Gemini 2.5 Flash (Jun 2025),141.0,(137 - 143),gemini-2.5-flash,137.0,143.0,3.0,eci,eci:0045,Gemini 2.5 Flash (Jun 2025),Gemini 2.5 Flash (Jun 2025),141.0,ECI,gemini-2.5-flash
46,Kimi K2 (Jul 2025),140.0,(136 - 142),,136.0,142.0,3.0,eci,eci:0046,Kimi K2 (Jul 2025),Kimi K2 (Jul 2025),140.0,ECI,
47,GPT-5 nano,140.0,,gpt-5-nano-high,,,,eci,eci:0047,GPT-5 nano,GPT-5 nano,140.0,ECI,gpt-5-nano-high
48,Gemini 2.5 Flash (May 2025),140.0,,gemini-2.5-flash,,,,eci,eci:0048,Gemini 2.5 Flash (May 2025),Gemini 2.5 Flash (May 2025),140.0,ECI,gemini-2.5-flash
49,DeepSeek-R1,140.0,(137 - 141),deepseek-r1,137.0,141.0,2.0,eci,eci:0049,DeepSeek-R1,DeepSeek-R1,140.0,ECI,deepseek-r1
50,Gemini 2.5 Pro (May 2025),140.0,,gemini-2.5-pro-preview-05-06,,,,eci,eci:0050,Gemini 2.5 Pro (May 2025),Gemini 2.5 Pro (May 2025),140.0,ECI,gemini-2.5-pro-preview-05-06
51,Qwen3-235B-A22B,140.0,(133 - 141),,133.0,141.0,4.0,eci,eci:0051,Qwen3-235B-A22B,Qwen3-235B-A22B,140.0,ECI,
52,Grok 3,139.0,(137 - 141),grok-3-beta,137.0,141.0,2.0,eci,eci:0052,Grok 3,Grok 3,139.0,ECI,grok-3-beta
53,Qwen3-235B-A22B-Instruct (Jul 2025),139.0,(135 - 141),qwen-3-235b-a22b-instruct-2507,135.0,141.0,3.0,eci,eci:0053,Qwen3-235B-A22B-Instruct (Jul 2025),Qwen3-235B-A22B-Instruct (Jul 2025),139.0,ECI,qwen-3-235b-a22b-instruct-2507
54,DeepSeek-V3.1,139.0,(134 - 143),,134.0,143.0,4.5,eci,eci:0054,DeepSeek-V3.1,DeepSeek-V3.1,139.0,ECI,
55,GPT-4.5,138.0,(135 - 140),gpt-4.5-preview,135.0,140.0,2.5,eci,eci:0055,GPT-4.5,GPT-4.5,138.0,ECI,gpt-4.5-preview
56,Kimi K2 (Sep 2025),138.0,,,,,,eci,eci:0056,Kimi K2 (Sep 2025),Kimi K2 (Sep 2025),138.0,ECI,
57,GPT-4.1,137.0,(135 - 139),gpt-4.1,135.0,139.0,2.0,eci,eci:0057,GPT-4.1,GPT-4.1,137.0,ECI,gpt-4.1
58,DeepSeek-V3 (Mar 2025),137.0,(134 - 139),deepseek-v3-0324,134.0,139.0,2.5,eci,eci:0058,DeepSeek-V3 (Mar 2025),DeepSeek-V3 (Mar 2025),137.0,ECI,deepseek-v3-0324
59,o1-mini,137.0,,o1-mini,,,,eci,eci:0059,o1-mini,o1-mini,137.0,ECI,o1-mini
60,Gemini 2.5 Flash (Apr 2025),136.0,,gemini-2.5-flash,,,,eci,eci:0060,Gemini 2.5 Flash (Apr 2025),Gemini 2.5 Flash (Apr 2025),136.0,ECI,gemini-2.5-flash
61,Gemini 2.0 Flash Thinking (Jan 2025),136.0,,gemini-2.0-flash-thinking-exp-01-21,,,,eci,eci:0061,Gemini 2.0 Flash Thinking (Jan 2025),Gemini 2.0 Flash Thinking (Jan 2025),136.0,ECI,gemini-2.0-flash-thinking-exp-01-21
62,o1-preview,136.0,,o1-preview,,,,eci,eci:0062,o1-preview,o1-preview,136.0,ECI,o1-preview
63,GPT-4.1 mini,136.0,(132 - 137),gpt-4.1-mini,132.0,137.0,2.5,eci,eci:0063,GPT-4.1 mini,GPT-4.1 mini,136.0,ECI,gpt-4.1-mini
64,Gemini 2.0 Pro,136.0,,,,,,eci,eci:0064,Gemini 2.0 Pro,Gemini 2.0 Pro,136.0,ECI,
65,Mistral Medium 3,135.0,(126 - 137),,126.0,137.0,5.5,eci,eci:0065,Mistral Medium 3,Mistral Medium 3,135.0,ECI,
66,Gemini 2.0 Flash (Dec 2024),135.0,,gemini-2.0-flash-001,,,,eci,eci:0066,Gemini 2.0 Flash (Dec 2024),Gemini 2.0 Flash (Dec 2024),135.0,ECI,gemini-2.0-flash-001
67,Claude 3.5 Sonnet (October 2024),134.0,,claude-3-5-sonnet-v2,,,,eci,eci:0067,Claude 3.5 Sonnet (October 2024),Claude 3.5 Sonnet (October 2024),134.0,ECI,claude-3-5-sonnet-v2
68,Qwen2.5-Max,133.0,(129 - 137),qwen-max,129.0,137.0,4.0,eci,eci:0068,Qwen2.5-Max,Qwen2.5-Max,133.0,ECI,qwen-max
69,DeepSeek-V3,133.0,(129 - 136),deepseek-v3,129.0,136.0,3.5,eci,eci:0069,DeepSeek-V3,DeepSeek-V3,133.0,ECI,deepseek-v3
70,Magistral Small 1.1,133.0,(127 - 136),magistral-small,127.0,136.0,4.5,eci,eci:0070,Magistral Small 1.1,Magistral Small 1.1,133.0,ECI,magistral-small
71,Llama 4 Maverick,133.0,,llama-4-maverick-17b-128e-instruct,,,,eci,eci:0071,Llama 4 Maverick,Llama 4 Maverick,133.0,ECI,llama-4-maverick-17b-128e-instruct
72,Gemini 2.0 Flash (Feb 2025),133.0,,gemini-2.0-flash-001,,,,eci,eci:0072,Gemini 2.0 Flash (Feb 2025),Gemini 2.0 Flash (Feb 2025),133.0,ECI,gemini-2.0-flash-001
73,Phi-4,131.0,(125 - 133),phi-4,125.0,133.0,4.0,eci,eci:0073,Phi-4,Phi-4,131.0,ECI,phi-4
74,Gemma 3 27B,131.0,(125 - 134),google_gemma-3-27b-it@iq4_xs,125.0,134.0,4.5,eci,eci:0074,Gemma 3 27B,Gemma 3 27B,131.0,ECI,google_gemma-3-27b-it@iq4_xs
75,GPT-4.1 nano,131.0,(126 - 133),gpt-4.1-nano,126.0,133.0,3.5,eci,eci:0075,GPT-4.1 nano,GPT-4.1 nano,131.0,ECI,gpt-4.1-nano
76,Grok-2 (Dec 2024),131.0,(124 - 132),grok-2,124.0,132.0,4.0,eci,eci:0076,Grok-2 (Dec 2024),Grok-2 (Dec 2024),131.0,ECI,grok-2
77,Llama 4 Scout,131.0,(126 - 132),,126.0,132.0,3.0,eci,eci:0077,Llama 4 Scout,Llama 4 Scout,131.0,ECI,
78,Gemini 1.5 Flash (Sep 2024),130.0,(123 - 132),gemini-1.5-flash-001,123.0,132.0,4.5,eci,eci:0078,Gemini 1.5 Flash (Sep 2024),Gemini 1.5 Flash (Sep 2024),130.0,ECI,gemini-1.5-flash-001
79,Claude 3.5 Sonnet,130.0,,claude-3-5-sonnet,,,,eci,eci:0079,Claude 3.5 Sonnet,Claude 3.5 Sonnet,130.0,ECI,claude-3-5-sonnet
80,Qwen2.5-72B,129.0,(123 - 131),qwen2.5-72b-instruct,123.0,131.0,4.0,eci,eci:0080,Qwen2.5-72B,Qwen2.5-72B,129.0,ECI,qwen2.5-72b-instruct
81,GPT-4o (May 2024),129.0,,gpt-4o-2024-05-13,,,,eci,eci:0081,GPT-4o (May 2024),GPT-4o (May 2024),129.0,ECI,gpt-4o-2024-05-13
82,Mistral Large 2 (Nov 2024),129.0,(124 - 131),,124.0,131.0,3.5,eci,eci:0082,Mistral Large 2 (Nov 2024),Mistral Large 2 (Nov 2024),129.0,ECI,
83,Gemini 1.5 Pro (Sept 2024),129.0,,gemini-1.5-pro-preview,,,,eci,eci:0083,Gemini 1.5 Pro (Sept 2024),Gemini 1.5 Pro (Sept 2024),129.0,ECI,gemini-1.5-pro-preview
84,Llama 3.1-405B,128.0,(119 - 130),,119.0,130.0,5.5,eci,eci:0084,Llama 3.1-405B,Llama 3.1-405B,128.0,ECI,
85,GPT-4 Turbo (Apr 2024),128.0,,gpt-4-turbo,,,,eci,eci:0085,GPT-4 Turbo (Apr 2024),GPT-4 Turbo (Apr 2024),128.0,ECI,gpt-4-turbo
86,Mistral Large 2 (Jul 2024),128.0,(122 - 129),,122.0,129.0,3.5,eci,eci:0086,Mistral Large 2 (Jul 2024),Mistral Large 2 (Jul 2024),128.0,ECI,
87,Llama 3.3 70B,128.0,(122 - 130),llama-3.3-70b,122.0,130.0,4.0,eci,eci:0087,Llama 3.3 70B,Llama 3.3 70B,128.0,ECI,llama-3.3-70b
88,Claude 3.5 Haiku,128.0,(120 - 131),claude-3-5-haiku,120.0,131.0,5.5,eci,eci:0088,Claude 3.5 Haiku,Claude 3.5 Haiku,128.0,ECI,claude-3-5-haiku
89,GPT-4o mini,127.0,(121 - 129),gpt-4o-mini,121.0,129.0,4.0,eci,eci:0089,GPT-4o mini,GPT-4o mini,127.0,ECI,gpt-4o-mini
90,Claude 3 Opus,127.0,(123 - 131),claude-3-opus,123.0,131.0,4.0,eci,eci:0090,Claude 3 Opus,Claude 3 Opus,127.0,ECI,claude-3-opus
91,GPT-4 (Mar 2023),126.0,,gpt-4,,,,eci,eci:0091,GPT-4 (Mar 2023),GPT-4 (Mar 2023),126.0,ECI,gpt-4
92,Qwen2-72B,126.0,(120 - 127),,120.0,127.0,3.5,eci,eci:0092,Qwen2-72B,Qwen2-72B,126.0,ECI,
93,Llama 3.2 90B,126.0,(120 - 127),,120.0,127.0,3.5,eci,eci:0093,Llama 3.2 90B,Llama 3.2 90B,126.0,ECI,
94,Llama 3.1-70B,126.0,,,,,,eci,eci:0094,Llama 3.1-70B,Llama 3.1-70B,126.0,ECI,
95,"DeepSeek-V2 (MoE-236B, May 2024)",125.0,,,,,,eci,eci:0095,"DeepSeek-V2 (MoE-236B, May 2024)","DeepSeek-V2 (MoE-236B, May 2024)",125.0,ECI,
96,GPT-4o (Nov 2024),125.0,,gpt-4o-2024-11-20,,,,eci,eci:0096,GPT-4o (Nov 2024),GPT-4o (Nov 2024),125.0,ECI,gpt-4o-2024-11-20
97,GPT-4o (Aug 2024),124.0,,gpt-4o-2024-08-06,,,,eci,eci:0097,GPT-4o (Aug 2024),GPT-4o (Aug 2024),124.0,ECI,gpt-4o-2024-08-06
98,Gemini 1.5 Pro (Feb 2024),123.0,,gemini-1.5-pro-preview,,,,eci,eci:0098,Gemini 1.5 Pro (Feb 2024),Gemini 1.5 Pro (Feb 2024),123.0,ECI,gemini-1.5-pro-preview
99,phi-3-small 7.4B,123.0,(115 - 127),,115.0,127.0,6.0,eci,eci:0099,phi-3-small 7.4B,phi-3-small 7.4B,123.0,ECI,
100,Gemini 1.5 Flash (May 2024),123.0,(116 - 126),gemini-1.5-flash-001,116.0,126.0,5.0,eci,eci:0100,Gemini 1.5 Flash (May 2024),Gemini 1.5 Flash (May 2024),123.0,ECI,gemini-1.5-flash-001
101,Gemma 2 27B,123.0,(116 - 125),gemma-2-27b-it@q6_k_l,116.0,125.0,4.5,eci,eci:0101,Gemma 2 27B,Gemma 2 27B,123.0,ECI,gemma-2-27b-it@q6_k_l
102,GPT-4 (Jun 2023),122.0,,gpt-4,,,,eci,eci:0102,GPT-4 (Jun 2023),GPT-4 (Jun 2023),122.0,ECI,gpt-4
103,Gemini 1.5 Pro (May 2024),122.0,,gemini-1.5-pro-preview,,,,eci,eci:0103,Gemini 1.5 Pro (May 2024),Gemini 1.5 Pro (May 2024),122.0,ECI,gemini-1.5-pro-preview
104,phi-3-medium 14B,122.0,(116 - 126),,116.0,126.0,5.0,eci,eci:0104,phi-3-medium 14B,phi-3-medium 14B,122.0,ECI,
105,Mixtral 8x22B,121.0,(114 - 124),,114.0,124.0,5.0,eci,eci:0105,Mixtral 8x22B,Mixtral 8x22B,121.0,ECI,
106,Claude Instant,121.0,(112 - 125),,112.0,125.0,6.5,eci,eci:0106,Claude Instant,Claude Instant,121.0,ECI,
107,Mistral Large,121.0,(114 - 124),,114.0,124.0,5.0,eci,eci:0107,Mistral Large,Mistral Large,121.0,ECI,
108,Claude 3 Sonnet,120.0,(112 - 124),claude-3-sonnet,112.0,124.0,6.0,eci,eci:0108,Claude 3 Sonnet,Claude 3 Sonnet,120.0,ECI,claude-3-sonnet
109,Gemma 2 9B,120.0,(109 - 122),gemma-2-9b-it-8bit,109.0,122.0,6.5,eci,eci:0109,Gemma 2 9B,Gemma 2 9B,120.0,ECI,gemma-2-9b-it-8bit
110,Claude 2,120.0,(113 - 124),claude-2,113.0,124.0,5.5,eci,eci:0110,Claude 2,Claude 2,120.0,ECI,claude-2
111,Qwen2.5-Coder-32B,120.0,(109 - 127),,109.0,127.0,9.0,eci,eci:0111,Qwen2.5-Coder-32B,Qwen2.5-Coder-32B,120.0,ECI,
112,Llama 3-70B,120.0,(96 - 125),llama-3-70b-instruct-awq,96.0,125.0,14.5,eci,eci:0112,Llama 3-70B,Llama 3-70B,120.0,ECI,llama-3-70b-instruct-awq
113,Mixtral 8x7B,119.0,(110 - 121),,110.0,121.0,5.5,eci,eci:0113,Mixtral 8x7B,Mixtral 8x7B,119.0,ECI,
114,Mistral NeMo,119.0,(109 - 123),mistral-nemo-12b-instruct,109.0,123.0,7.0,eci,eci:0114,Mistral NeMo,Mistral NeMo,119.0,ECI,mistral-nemo-12b-instruct
115,Claude 2.1,119.0,(109 - 121),claude-2-1,109.0,121.0,6.0,eci,eci:0115,Claude 2.1,Claude 2.1,119.0,ECI,claude-2-1
116,Claude 3 Haiku,118.0,(109 - 122),claude-3-haiku,109.0,122.0,6.5,eci,eci:0116,Claude 3 Haiku,Claude 3 Haiku,118.0,ECI,claude-3-haiku
117,Yi-34B,118.0,(110 - 122),,110.0,122.0,6.0,eci,eci:0117,Yi-34B,Yi-34B,118.0,ECI,
118,phi-3-mini 3.8B,118.0,(106 - 121),,106.0,121.0,7.5,eci,eci:0118,phi-3-mini 3.8B,phi-3-mini 3.8B,118.0,ECI,
119,Gemini 1.0 Pro,117.0,(111 - 121),,111.0,121.0,5.0,eci,eci:0119,Gemini 1.0 Pro,Gemini 1.0 Pro,117.0,ECI,
120,Stable Beluga 2,117.0,(112 - 120),,112.0,120.0,4.0,eci,eci:0120,Stable Beluga 2,Stable Beluga 2,117.0,ECI,
121,Llama 3-8B,117.0,(109 - 120),llama3-8b-8192,109.0,120.0,5.5,eci,eci:0121,Llama 3-8B,Llama 3-8B,117.0,ECI,llama3-8b-8192
122,Llama 3.1-8B,116.0,(100 - 121),llama3.1-8b,100.0,121.0,10.5,eci,eci:0122,Llama 3.1-8B,Llama 3.1-8B,116.0,ECI,llama3.1-8b
123,Llama 2-70B,114.0,(106 - 118),,106.0,118.0,6.0,eci,eci:0123,Llama 2-70B,Llama 2-70B,114.0,ECI,
124,GPT-3.5 Turbo (Jun 2023),114.0,(106 - 120),gpt-35-turbo-0613,106.0,120.0,7.0,eci,eci:0124,GPT-3.5 Turbo (Jun 2023),GPT-3.5 Turbo (Jun 2023),114.0,ECI,gpt-35-turbo-0613
125,Qwen2.5-Coder (7B),113.0,(102 - 121),,102.0,121.0,9.5,eci,eci:0125,Qwen2.5-Coder (7B),Qwen2.5-Coder (7B),113.0,ECI,
126,Qwen-14B,113.0,(104 - 118),,104.0,118.0,7.0,eci,eci:0126,Qwen-14B,Qwen-14B,113.0,ECI,
127,Falcon-180B,113.0,(106 - 122),,106.0,122.0,8.0,eci,eci:0127,Falcon-180B,Falcon-180B,113.0,ECI,
128,Mistral 7B v0.1,112.0,(101 - 116),,101.0,116.0,7.5,eci,eci:0128,Mistral 7B v0.1,Mistral 7B v0.1,112.0,ECI,
129,Gemma 7B,112.0,(105 - 117),,105.0,117.0,6.0,eci,eci:0129,Gemma 7B,Gemma 7B,112.0,ECI,
130,LLaMA-65B,110.0,(103 - 114),,103.0,114.0,5.5,eci,eci:0130,LLaMA-65B,LLaMA-65B,110.0,ECI,
131,Falcon 2 11B,110.0,(101 - 118),,101.0,118.0,8.5,eci,eci:0131,Falcon 2 11B,Falcon 2 11B,110.0,ECI,
132,Phi-2,108.0,(79 - 114),,79.0,114.0,17.5,eci,eci:0132,Phi-2,Phi-2,108.0,ECI,
133,LLaMA-33B,107.0,(99 - 112),,99.0,112.0,6.5,eci,eci:0133,LLaMA-33B,LLaMA-33B,107.0,ECI,
134,Nemotron-4 15B,107.0,(98 - 114),,98.0,114.0,8.0,eci,eci:0134,Nemotron-4 15B,Nemotron-4 15B,107.0,ECI,
135,Qwen-7B,107.0,(93 - 113),,93.0,113.0,10.0,eci,eci:0135,Qwen-7B,Qwen-7B,107.0,ECI,
136,GPT-3.5 Turbo (Nov 2023),107.0,,gpt-35-turbo-1106,,,,eci,eci:0136,GPT-3.5 Turbo (Nov 2023),GPT-3.5 Turbo (Nov 2023),107.0,ECI,gpt-35-turbo-1106
137,Llama 2-13B,106.0,(100 - 112),,100.0,112.0,6.0,eci,eci:0137,Llama 2-13B,Llama 2-13B,106.0,ECI,
138,Llama 2-34B,105.0,(96 - 111),,96.0,111.0,7.5,eci,eci:0138,Llama 2-34B,Llama 2-34B,105.0,ECI,
139,Yi 6B,105.0,(96 - 110),,96.0,110.0,7.0,eci,eci:0139,Yi 6B,Yi 6B,105.0,ECI,
140,Falcon-40B,104.0,(93 - 110),,93.0,110.0,8.5,eci,eci:0140,Falcon-40B,Falcon-40B,104.0,ECI,
141,GPT-3.5 Turbo (Jan 2024),104.0,,gpt-35-turbo-0125,,,,eci,eci:0141,GPT-3.5 Turbo (Jan 2024),GPT-3.5 Turbo (Jan 2024),104.0,ECI,gpt-35-turbo-0125
142,Eurus-2-7B-PRIME,,,,,,,eci,eci:0142,Eurus-2-7B-PRIME,Eurus-2-7B-PRIME,,ECI,
143,Qwen2.5-Coder (1.5B),103.0,(89 - 111),,89.0,111.0,11.0,eci,eci:0143,Qwen2.5-Coder (1.5B),Qwen2.5-Coder (1.5B),103.0,ECI,
144,Baichuan2-13B,103.0,(91 - 110),,91.0,110.0,9.5,eci,eci:0144,Baichuan2-13B,Baichuan2-13B,103.0,ECI,
145,INTELLECT-1,101.0,,,,,,eci,eci:0145,INTELLECT-1,INTELLECT-1,101.0,ECI,
146,MPT-30B,100.0,(89 - 107),,89.0,107.0,9.0,eci,eci:0146,MPT-30B,MPT-30B,100.0,ECI,
147,LLaMA-13B,100.0,(89 - 107),,89.0,107.0,9.0,eci,eci:0147,LLaMA-13B,LLaMA-13B,100.0,ECI,
148,Llama 2-7B,98.0,(87 - 105),llama-2-7b-chat,87.0,105.0,9.0,eci,eci:0148,Llama 2-7B,Llama 2-7B,98.0,ECI,llama-2-7b-chat
149,DeepSeek Coder 33B,96.0,,,,,,eci,eci:0149,DeepSeek Coder 33B,DeepSeek Coder 33B,96.0,ECI,
150,Baichuan 2-7B,96.0,(83 - 105),,83.0,105.0,11.0,eci,eci:0150,Baichuan 2-7B,Baichuan 2-7B,96.0,ECI,
151,LLaMA-7B,95.0,(85 - 104),,85.0,104.0,9.5,eci,eci:0151,LLaMA-7B,LLaMA-7B,95.0,ECI,
152,Gemma 2B,94.0,(82 - 102),,82.0,102.0,10.0,eci,eci:0152,Gemma 2B,Gemma 2B,94.0,ECI,
153,Falcon-7B,94.0,(79 - 102),,79.0,102.0,11.5,eci,eci:0153,Falcon-7B,Falcon-7B,94.0,ECI,
154,MPT-7B,93.0,(79 - 102),,79.0,102.0,11.5,eci,eci:0154,MPT-7B,MPT-7B,93.0,ECI,
155,XGen-7B,91.0,(77 - 100),,77.0,100.0,11.5,eci,eci:0155,XGen-7B,XGen-7B,91.0,ECI,
156,Baichuan1-7B,90.0,(77 - 100),,77.0,100.0,11.5,eci,eci:0156,Baichuan1-7B,Baichuan1-7B,90.0,ECI,
157,DeepSeek Coder 6.7B,90.0,,,,,,eci,eci:0157,DeepSeek Coder 6.7B,DeepSeek Coder 6.7B,90.0,ECI,
