source_row_index,Model,Score,90% CI,llm_chess_model,eci_ci_low,eci_ci_high,eci_ci90_half_width,eval_id,eval_row_id,eval_model_label,eval_variant_label,score_numeric,score_label,source_llm_chess_model,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,source_llm_chess_model_mapping,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason
10,Kimi K3,156,(154 - 159),,154.0,159.0,2.5,eci,eci:0010,Kimi K3,Kimi K3,156,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Kimi,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.","LLM Chess has kimi-k2-instruct and kimi-k2.5; same family, different version is not a match.",cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
11,GPT-5.3 Codex,156,(153 - 159),,153.0,159.0,3.0,eci,eci:0011,GPT-5.3 Codex,GPT-5.3 Codex,156,ECI,,gpt-5.3-codex-medium,accepted,reviewed_2026_05_refresh,review-medium,GPT-5,epoch_eci_refresh_2026_05,,unknown,,reasoning,medium,assume-highest,"family_tier_convention:base->medium,mini/nano->high; elo_refined.csv tier availability",New in 2026-05 refresh. Only GPT-5.3 Codex tier present in elo_refined.csv is gpt-5.3-codex-medium; consistent with base GPT-5.x -> -medium convention.,,cross_ref_refresh_2026_05,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
12,Claude Opus 4.6,155,(153 - 157),claude-opus-4-6_thinking-high,153.0,157.0,2.0,eci,eci:0012,Claude Opus 4.6,Claude Opus 4.6,155,ECI,claude-opus-4-6_thinking-high,claude-opus-4-6_thinking-high,accepted,qa_passed,seed-medium,Claude Opus 4,legacy_bridge_column,,unknown,,reasoning,high,assume-highest,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-opus-4-6_thinking-high,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
13,GPT-5.6 Luna,155,(153 - 158),,153.0,158.0,2.5,eci,eci:0013,GPT-5.6 Luna,GPT-5.6 Luna,155,ECI,,gpt-5.6-luna-2026-07-09-high,accepted,reviewed_2026_07_eci_refresh,review-medium,GPT-5,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies: mapped to gpt-5.6-luna-2026-07-09-high, the highest GPT-5.6 Luna tier in elo_refined.csv (available tiers are medium and high).","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI GPT-5.6 Luna run.",cross_ref_eci_refresh_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
14,Gemini 3.1 Pro,155,(153 - 158),gemini-3.1-pro-preview,153.0,158.0,2.5,eci,eci:0014,Gemini 3.1 Pro,Gemini 3.1 Pro,155,ECI,gemini-3.1-pro-preview,gemini-3.1-pro-preview-high,accepted,reviewed_2026_07_reasoning_rule,seed-medium,Gemini 3,legacy_bridge_column,,unknown,,reasoning,high,assume-highest,legacy_source_column:llm_chess_model; reasoning_effort_rule:README.md#stage-ownership,"Seeded by the legacy ECI bridge column, whose value gemini-3.1-pro-preview no longer exists in elo_refined.csv (the player was renamed with an explicit -high tier). ECI states no reasoning effort, so clause 1 (assume-highest) selects gemini-3.1-pro-preview-high, the only and therefore highest Gemini 3.1 Pro tier.","Effort is assumed, not sourced. source_llm_chess_model retains the superseded bridge value so the divergence stays visible in mapping_source_of_truth.",cross_ref_reasoning_rule_2026_07,gemini-3.1-pro-preview,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
15,GPT-5.2 Pro,155,(153 - 157),,153.0,157.0,2.0,eci,eci:0015,GPT-5.2 Pro,GPT-5.2 Pro,155,ECI,,,unmatched,qa_passed,low,GPT-5,legacy_bridge_column,,unknown,,,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,No legacy bridge value present.,published_mapping_review,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
16,Gemini 3.5 Flash,155,(153 - 157),,153.0,157.0,2.0,eci,eci:0016,Gemini 3.5 Flash,Gemini 3.5 Flash,155,ECI,,gemini-3.5-flash-medium,accepted,reviewed_2026_07_reasoning_rule,review-medium,Gemini 3,epoch_eci_refresh_2026_05,,unknown,,reasoning,medium,assume-highest,reasoning_effort_rule:README.md#stage-ownership; elo_refined.csv tier availability,"New model in the 2026-05 overall ECI refresh, held unmatched when no Gemini 3.5 Flash existed in elo_refined.csv. gemini-3.5-flash-medium now exists. ECI states no reasoning effort, so clause 1 (assume-highest) selects it as the only and therefore highest Gemini 3.5 Flash tier.","Effort is assumed, not sourced. -medium is the only Gemini 3.5 Flash tier, so assume-highest cannot be distinguished from a lower-effort reading here.",cross_ref_reasoning_rule_2026_07,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
17,Muse Spark,154,(152 - 158),,152.0,158.0,3.0,eci,eci:0017,Muse Spark,Muse Spark,154,ECI,,,unmatched,qa_passed,low,Muse,legacy_bridge_column,,unknown,,,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,No legacy bridge value present.,published_mapping_review,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
18,GPT-5.2,154,(152 - 155),gpt-5.2-medium,152.0,155.0,1.5,eci,eci:0018,GPT-5.2,GPT-5.2,154,ECI,gpt-5.2-medium,gpt-5.2-medium,accepted,qa_passed,seed-medium,GPT-5,legacy_bridge_column,,unknown,,reasoning,medium,assume-highest,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,gpt-5.2-medium,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
19,Grok 4.5,154,(152 - 156),,152.0,156.0,2.0,eci,eci:0019,Grok 4.5,Grok 4.5,154,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Grok 4,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.","LLM Chess has grok-4.3-high, grok-4-20-*, grok-4-fast-* and grok-4-1-fast-*; no Grok 4.5 run.",cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
20,Claude Sonnet 5,153,(151 - 155),,151.0,155.0,2.0,eci,eci:0020,Claude Sonnet 5,Claude Sonnet 5,153,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Claude,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.",No Claude Sonnet 5 run in LLM Chess; the Anthropic inventory reaches claude-sonnet-4-6.,cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
21,Gemini 3 Pro,153,(151 - 156),gemini-3-pro-preview,151.0,156.0,2.5,eci,eci:0021,Gemini 3 Pro,Gemini 3 Pro,153,ECI,gemini-3-pro-preview,gemini-3-pro-preview-high,accepted,reviewed_2026_07_reasoning_rule,seed-medium,Gemini,legacy_bridge_column,,unknown,,reasoning,high,assume-highest,legacy_source_column:llm_chess_model; reasoning_effort_rule:README.md#stage-ownership,"Seeded by the legacy ECI bridge column, whose value gemini-3-pro-preview no longer exists in elo_refined.csv (the player was renamed with an explicit -high tier). ECI states no reasoning effort, so clause 1 (assume-highest) selects gemini-3-pro-preview-high, the only and therefore highest Gemini 3 Pro tier.","Effort is assumed, not sourced. source_llm_chess_model retains the superseded bridge value so the divergence stays visible in mapping_source_of_truth.",cross_ref_reasoning_rule_2026_07,gemini-3-pro-preview,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
22,Claude Sonnet 4.6,153,(150 - 156),claude-sonnet-4-6,150.0,156.0,3.0,eci,eci:0022,Claude Sonnet 4.6,Claude Sonnet 4.6,153,ECI,claude-sonnet-4-6,claude-sonnet-4-6_thinking-high,accepted,reviewed_2026_07_eci_refresh,review-medium,Claude Sonnet 4,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Re-pointed from claude-sonnet-4-6 to claude-sonnet-4-6_thinking-high. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies and the highest Claude Sonnet 4.6 tier in elo_refined.csv is the thinking-high run; the non-thinking pick predates the reasoning-effort rule and was missed by the 2026-07 pass that moved the sibling Claude Opus 4.6 row. arc_agi_2, bullshit_bench and vals_index all map Sonnet 4.6 to the thinking-high player.","Effort is assumed, not sourced: Epoch does not publish the reasoning effort behind the ECI Claude Sonnet 4.6 run.",cross_ref_eci_refresh_2026_07,claude-sonnet-4-6,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
23,Qwen3.7-Max,153,(151 - 155),,151.0,155.0,2.0,eci,eci:0023,Qwen3.7-Max,Qwen3.7-Max,153,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Qwen3,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.",No Qwen3.7 entry in LLM Chess. qwen-max is Qwen2.5-Max and is already mapped to Epoch's Qwen2.5-Max row.,cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
24,Grok 4.20,153,(149 - 155),,149.0,155.0,3.0,eci,eci:0024,Grok 4.20,Grok 4.20,153,ECI,,grok-4-20-reasoning,accepted,reviewed_2026_05_refresh,high,Grok 4,epoch_eci_refresh_2026_05,,unknown,,reasoning,,,maintainer_confirmed_2026_05: grok-4-20-reasoning == Epoch 'Grok 4.20',Maintainer confirmed the LLM Chess id grok-4-20-reasoning corresponds to Epoch 'Grok 4.20' (not 'Grok 4'). Reassigned here in the 2026-05 refresh.,,cross_ref_refresh_2026_05,,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
25,GLM-5.2,151,(150 - 153),,150.0,153.0,1.5,eci,eci:0025,GLM-5.2,GLM-5.2,151,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,GLM-5,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.","LLM Chess has zai.glm-5 (GLM-5); same family, different version is not a match.",cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
26,Kimi K2.6,151,(149 - 153),,149.0,153.0,2.0,eci,eci:0026,Kimi K2.6,Kimi K2.6,151,ECI,,,unmatched,needs_review,none,,epoch_eci_refresh_2026_05,,unknown,,,,,,New model introduced in the 2026-05 overall ECI refresh; mapping not yet reviewed.,"No Kimi K2.6 entry in elo_refined.csv (only kimi-k2-instruct, kimi-k2.5).",,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
27,Gemini 3 Flash,151,(146 - 153),gemini-3-flash-preview,146.0,153.0,3.5,eci,eci:0027,Gemini 3 Flash,Gemini 3 Flash,151,ECI,gemini-3-flash-preview,gemini-3-flash-preview,accepted,qa_passed,seed-medium,Gemini,legacy_bridge_column,,unknown,,reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,gemini-3-flash-preview,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
28,GLM-5.1,150,(148 - 152),,148.0,152.0,2.0,eci,eci:0028,GLM-5.1,GLM-5.1,150,ECI,,,unmatched,needs_review,none,,epoch_eci_refresh_2026_05,,unknown,,,,,,New model introduced in the 2026-05 overall ECI refresh; mapping not yet reviewed.,"No GLM-5.1 entry in elo_refined.csv (only zai.glm-5, glm-4.7-flash@q4).",,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
29,GPT-5 Pro,150,(149 - 152),,149.0,152.0,1.5,eci,eci:0029,GPT-5 Pro,GPT-5 Pro,150,ECI,,,unmatched,qa_passed,low,GPT,legacy_bridge_column,,unknown,,,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,No legacy bridge value present.,published_mapping_review,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
30,GPT-5,150,,gpt-5-medium,,,,eci,eci:0030,GPT-5,GPT-5,150,ECI,gpt-5-medium,gpt-5-medium,accepted,qa_passed,seed-medium,GPT,legacy_bridge_column,,unknown,,reasoning,medium,assume-highest,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,gpt-5-medium,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
31,GPT-5.1,150,(149 - 151),gpt-5.1-medium,149.0,151.0,1.0,eci,eci:0031,GPT-5.1,GPT-5.1,150,ECI,gpt-5.1-medium,gpt-5.1-medium,accepted,qa_passed,seed-medium,GPT-5,legacy_bridge_column,,unknown,,reasoning,medium,assume-highest,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,gpt-5.1-medium,True,True,True,True,True,True,True,,,True,True,,,,,,,,,
32,Kimi K2.7 Code,150,(148 - 151),,148.0,151.0,1.5,eci,eci:0032,Kimi K2.7 Code,Kimi K2.7 Code,150,ECI,,,unmatched,reviewed_2026_07_eci_refresh,none,Kimi K2,epoch_eci_refresh_2026_07,,unknown,,,,,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. No LLM Chess counterpart exists, so there is nothing to map; the row stays visible in coverage and out of every statistic.",LLM Chess reaches kimi-k2.5; K2.7 is both a later version and a distinct Code product variant.,cross_ref_eci_refresh_2026_07,,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned."
