eval_id,mapping_file,eval_row_id,eval_model_label,llm_chess_player,eval_variant_label,mapping_status,review_status,confidence,provider_group,provider_group_source,provider_group_confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,source_llm_chess_model
eci,eci.csv,eci:0075,Claude 3.7 Sonnet,claude-3-7-sonnet_thinking_10000,Claude 3.7 Sonnet,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude 3,legacy_bridge_column,,unknown,,reasoning,thinking_10000,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-7-sonnet_thinking_10000
arc_agi_2,arc_agi_2.csv,arc_agi_2:0165:claude_3_7_1k,Claude 3.7 (1K),claude-3-7-sonnet_thinking_1024,Claude 3.7 (1K),variant-compatible,qa_passed,medium,Anthropic,llm_chess_inventory,high,Anthropic,2025-02-24,,unknown,1k,reasoning,thinking_1024,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,1K ARC budget is compatible with the 1024-token llm_chess reasoning row.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0134:anthropic_claude_3_haiku_reasoning_default,anthropic/claude-3-haiku@reasoning=default,claude-3-haiku,anthropic/claude-3-haiku@reasoning=default,alias,reviewed_2026_05,high,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-3-haiku is the same model as elo claude-3-haiku.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0149,Claude 3 Haiku,claude-3-haiku,Claude 3 Haiku,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-haiku
eci,eci.csv,eci:0125,Claude 3 Opus,claude-3-opus,Claude 3 Opus,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-opus
eci,eci.csv,eci:0141,Claude 3 Sonnet,claude-3-sonnet,Claude 3 Sonnet,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-3-sonnet
arc_agi_2,arc_agi_2.csv,arc_agi_2:0099:claude_haiku_4_5,Claude Haiku 4.5,claude-haiku-4-5,Claude Haiku 4.5,alias,qa_passed,high,Anthropic,llm_chess_inventory,high,Anthropic,2025-10-01,,unknown,,not_reasoning,,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,Exact family row exists in llm_chess.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0012:anthropic_claude_haiku_4_5_reasoning_none,anthropic/claude-haiku-4.5@reasoning=none,claude-haiku-4-5,anthropic/claude-haiku-4.5@reasoning=none,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=none maps to elo claude-haiku-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0102:claude_haiku_4_5_thinking_16k,Claude Haiku 4.5 (Thinking 16K),claude-haiku-4-5_thinking_16000,Claude Haiku 4.5 (Thinking 16K),alias,qa_passed,high,Anthropic,llm_chess_inventory,high,Anthropic,2025-10-01,,reasoning_or_configured,16k,reasoning,thinking_16000,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,16K thinking row exists in llm_chess.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0011:anthropic_claude_haiku_4_5_reasoning_high,anthropic/claude-haiku-4.5@reasoning=high,claude-haiku-4-5_thinking_16000,anthropic/claude-haiku-4.5@reasoning=high,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-haiku-4.5 reasoning=high maps to elo claude-haiku-4-5_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0068,Claude Haiku 4.5,claude-haiku-4-5_thinking_16000,Claude Haiku 4.5,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude Haiku 4,legacy_bridge_column,,unknown,,reasoning,thinking_16000,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-haiku-4-5_thinking_16000
vals_index,vals_index.csv,vals_index:0034:anthropic_claude_haiku_4_5_20251001_thinking,anthropic/claude-haiku-4-5-20251001-thinking,claude-haiku-4-5_thinking_16000,anthropic/claude-haiku-4-5-20251001-thinking,variant-compatible,reviewed_2026_07_vals_index,medium,Anthropic,llm_chess_inventory,high,anthropic,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,reasoning,thinking_16000,assume-highest,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model and same reasoning kind: the Vals model_key ends in -thinking and pins the 20251001 snapshot, so it maps to the thinking chess run rather than plain claude-haiku-4-5. Vals states neither reasoning_effort nor compute_effort, so clause 1 assumes the highest and takes the only thinking run available.","LLM Chess expresses this run as a 16000-token thinking budget rather than an effort tier, and Vals states no budget, so the two configurations cannot be checked against each other.",cross_ref_vals_index_2026_07,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0150:claude_opus_4,Claude Opus 4,claude-opus-4,Claude Opus 4,alias,qa_passed,high,Anthropic,llm_chess_inventory,high,Anthropic,2025-05-14,,unknown,,not_reasoning,,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,Exact family row exists in llm_chess.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0060:anthropic_claude_opus_4_reasoning_default,anthropic/claude-opus-4@reasoning=default,claude-opus-4,anthropic/claude-opus-4@reasoning=default,alias,reviewed_2026_05,high,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=default,unknown,,not_reasoning,,name_alias,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4 is the same model as elo claude-opus-4.,,cross_ref_bullshit_bench_2026_05,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0040:anthropic_claude_opus_4_1_reasoning_none,anthropic/claude-opus-4.1@reasoning=none,claude-opus-4-1,anthropic/claude-opus-4.1@reasoning=none,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.1 reasoning=none maps to elo claude-opus-4-1 with a reasoning-config caveat.,No reasoning opus-4-1 run in elo; only the high reasoning row is unmatched.,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0060,Claude Opus 4.1,claude-opus-4-1,Claude Opus 4.1,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude Opus 4,legacy_bridge_column,,unknown,,not_reasoning,,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-opus-4-1
arc_agi_2,arc_agi_2.csv,arc_agi_2:0085:opus_4_5_thinking_none,"Opus 4.5 (Thinking, None)",claude-opus-4-5,"Opus 4.5 (Thinking, None)",variant-compatible,qa_passed,medium,Anthropic,llm_chess_inventory,high,Anthropic,2025-11-24,,reasoning_or_configured,none,not_reasoning,,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,ARC explicitly marks no thinking; llm_chess stores the base row separately.,,published_mapping_review,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0010:anthropic_claude_opus_4_5_reasoning_none,anthropic/claude-opus-4.5@reasoning=none,claude-opus-4-5,anthropic/claude-opus-4.5@reasoning=none,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=none maps to elo claude-opus-4-5 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0004:anthropic_claude_opus_4_5_reasoning_high,anthropic/claude-opus-4.5@reasoning=high,claude-opus-4-5-20251101_thinking_16000,anthropic/claude-opus-4.5@reasoning=high,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,,thinking_16000,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.5 reasoning=high maps to elo claude-opus-4-5-20251101_thinking_16000 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0034,Claude Opus 4.5,claude-opus-4-5-20251101_thinking_16000,Claude Opus 4.5,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude Opus 4,legacy_bridge_column,,unknown,,reasoning,thinking_16000,,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-opus-4-5-20251101_thinking_16000
bullshit_bench,bullshit_bench.csv,bullshit_bench:0006:anthropic_claude_opus_4_6_reasoning_none,anthropic/claude-opus-4.6@reasoning=none,claude-opus-4-6,anthropic/claude-opus-4.6@reasoning=none,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=none,reasoning_or_configured,none,not_reasoning,,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=none maps to elo claude-opus-4-6 with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
delegate_52,delegate_52.csv,delegate_52:0001:claude_4_6_opus,Claude 4.6 Opus,claude-opus-4-6,Claude 4.6 Opus,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,delegate_52_2026_04,config_unspecified,unknown,,not_reasoning,,,delegate_52_table_1; elo_refined.csv; models_metadata.csv,DELEGATE-52 'Claude 4.6 Opus' maps to elo claude-opus-4-6 (base run); extended-thinking status not stated by the paper.,Paper does not say whether extended thinking was enabled; claude-opus-4-6 has no Elo in elo_refined.csv so it drops from the Elo sample (stays in the metric sample).,cross_ref_delegate_52_2026_05,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0005:anthropic_claude_opus_4_6_reasoning_high,anthropic/claude-opus-4.6@reasoning=high,claude-opus-4-6_thinking-high,anthropic/claude-opus-4.6@reasoning=high,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=high,reasoning_or_configured,high,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.6 reasoning=high maps to elo claude-opus-4-6_thinking-high with a reasoning-config caveat.,,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0012,Claude Opus 4.6,claude-opus-4-6_thinking-high,Claude Opus 4.6,accepted,qa_passed,seed-medium,Anthropic,llm_chess_inventory,high,Claude Opus 4,legacy_bridge_column,,unknown,,reasoning,high,assume-highest,legacy_source_column:llm_chess_model,Generated from the legacy ECI bridge-column workflow and retained as the published reviewed mapping source of truth.,,published_mapping_review,claude-opus-4-6_thinking-high
arc_agi_2,arc_agi_2.csv,arc_agi_2:0037:claude_4_7_high,Claude 4.7 (High),claude-opus-4-7_adaptive-thinking-high,Claude 4.7 (High),variant-compatible,qa_passed,medium,Anthropic,llm_chess_inventory,high,Anthropic,2026-04-16,,reasoning_or_configured,high,reasoning,high,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,Same family and high effort intent; the ARC label omits the Opus tier and the adaptive-thinking suffix used in llm_chess. Confirmed Opus by the sibling 'Opus 4.7 (High)' ARC-AGI-3 row.,,cross_ref_refresh_may_2026,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0039:opus_4_7_high,Opus 4.7 (High),claude-opus-4-7_adaptive-thinking-high,Opus 4.7 (High),variant-compatible,qa_passed,medium,Anthropic,llm_chess_inventory,high,Anthropic,2026-04-16,,reasoning_or_configured,high,reasoning,high,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,"ARC-AGI-3 entry for Opus 4.7 at high effort; maps to the llm_chess Opus 4.7 adaptive-thinking-high run. No ARC-AGI-2 score, so it stays out of the ARC-AGI-2 sample.",,cross_ref_refresh_may_2026,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0013:anthropic_claude_opus_4_7_reasoning_max,anthropic/claude-opus-4.7@reasoning=max,claude-opus-4-7_adaptive-thinking-high,anthropic/claude-opus-4.7@reasoning=max,variant-compatible,reviewed_2026_05,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=max,reasoning_or_configured,max,reasoning,thinking-high,reasoning_kind_match,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv,BullshitBench anthropic/claude-opus-4.7 reasoning=max maps to elo claude-opus-4-7_adaptive-thinking-high with a reasoning-config caveat.,none row has no non-reasoning opus-4.7 counterpart; max mapped to the adaptive-thinking-high run (effort label differs).,cross_ref_bullshit_bench_2026_05,
eci,eci.csv,eci:0009,Claude Opus 4.7,claude-opus-4-7_adaptive-thinking-high,Claude Opus 4.7,accepted,reviewed_2026_07_eci_refresh,high,Anthropic,llm_chess_inventory,high,Claude Opus 4,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Resolved from mapping-research/eci.md priority-queue entry 2: the hold condition was 'until an exact LLM Chess Claude 4.7 row exists', and claude-opus-4-7_adaptive-thinking-high now does. arc_agi_2, bullshit_bench and vals_index already map the same model to it. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies and it is the only Opus 4.7 entry.","Effort is assumed, not sourced. The prior unmatched status was legacy bridge-column seeding, not a reviewed identity judgement.",cross_ref_eci_refresh_2026_07,
vals_index,vals_index.csv,vals_index:0009:anthropic_claude_opus_4_7,anthropic/claude-opus-4-7,claude-opus-4-7_adaptive-thinking-high,anthropic/claude-opus-4-7,variant-compatible,reviewed_2026_07_vals_index,high,Anthropic,llm_chess_inventory,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=high,reasoning_or_configured,high,reasoning,adaptive-thinking-high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model, and the effort labels agree: Vals compute_effort=high against the adaptive-thinking-high chess run, so clause 2 applies to the effort.","The effort tier matches but the thinking mode is labelled differently (Vals compute_effort vs LLM Chess adaptive-thinking), so this stays variant-compatible rather than accepted.",cross_ref_vals_index_2026_07,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0024:claude_opus_4_8_high,Claude Opus 4.8 (High),claude-opus-4-8_adaptive-thinking-high,Claude Opus 4.8 (High),accepted,reviewed_2026_07_arc_refresh,high,Anthropic,llm_chess_inventory,high,Anthropic,2026-06-01,,reasoning_or_configured,high,reasoning,high,effort_to_effort,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory,"ARC states High and the single LLM Chess Claude Opus 4.8 run is the adaptive-thinking-high tier, so clause 2 applies. Same family, same release, same stated effort.",,cross_ref_refresh_jul_2026,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0022:claude_opus_4_8_low,Claude Opus 4.8 (Low),claude-opus-4-8_adaptive-thinking-high,Claude Opus 4.8 (Low),variant-compatible,reviewed_2026_07_arc_refresh,medium,Anthropic,llm_chess_inventory,high,Anthropic,2026-06-01,,reasoning_or_configured,low,reasoning,high,nearest-tier,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory; reasoning_effort_rule:README.md#stage-ownership,"ARC states Low and claude-opus-4-8_adaptive-thinking-high is the only Claude Opus 4.8 tier in elo_refined.csv, so clause 3 has a single candidate and takes the lowest available tier.","Forced effort inversion: the ARC run is Low and the only LLM Chess tier for this model is claude-opus-4-8_adaptive-thinking-high. No lower tier exists, so the substitution is coverage-driven and the two efforts do not agree. Do not read this row as an effort-matched comparison.",cross_ref_refresh_jul_2026,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0025:claude_opus_4_8_max,Claude Opus 4.8 (Max),claude-opus-4-8_adaptive-thinking-high,Claude Opus 4.8 (Max),variant-compatible,reviewed_2026_07_arc_refresh,medium,Anthropic,llm_chess_inventory,high,Anthropic,2026-06-01,,reasoning_or_configured,max,reasoning,high,nearest-tier,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory; reasoning_effort_rule:README.md#stage-ownership,"ARC states Max and claude-opus-4-8_adaptive-thinking-high is the only Claude Opus 4.8 tier in elo_refined.csv, so clause 3 has a single candidate and takes the highest available tier.","Effort conflict: no Claude Opus 4.8 max tier exists in LLM Chess, so the ARC Max configuration is compared against claude-opus-4-8_adaptive-thinking-high. Shares its player with the sibling High/Medium/Low rows, so max dedupe keeps the highest ARC-AGI-2 score among them.",cross_ref_refresh_jul_2026,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0023:claude_opus_4_8_medium,Claude Opus 4.8 (Medium),claude-opus-4-8_adaptive-thinking-high,Claude Opus 4.8 (Medium),variant-compatible,reviewed_2026_07_arc_refresh,medium,Anthropic,llm_chess_inventory,high,Anthropic,2026-06-01,,reasoning_or_configured,medium,reasoning,high,nearest-tier,arc_leaderboard_row; arc_evaluations_json; model_identity_review; llm_chess_inventory; reasoning_effort_rule:README.md#stage-ownership,"ARC states Medium and claude-opus-4-8_adaptive-thinking-high is the only Claude Opus 4.8 tier in elo_refined.csv, so clause 3 has a single candidate and takes the lowest available tier.","Forced effort inversion: the ARC run is Medium and the only LLM Chess tier for this model is claude-opus-4-8_adaptive-thinking-high. No lower tier exists, so the substitution is coverage-driven and the two efforts do not agree. Do not read this row as an effort-matched comparison.",cross_ref_refresh_jul_2026,
bullshit_bench,bullshit_bench.csv,bullshit_bench:0001:anthropic_claude_opus_4_8_reasoning_xhigh,anthropic/claude-opus-4.8@reasoning=xhigh,claude-opus-4-8_adaptive-thinking-high,anthropic/claude-opus-4.8@reasoning=xhigh,variant-compatible,reviewed_2026_07_reasoning_rule,medium,Anthropic,llm_chess_inventory,high,anthropic,bullshit_bench_v2_2026_05,reasoning=xhigh,reasoning_or_configured,xhigh,reasoning,thinking-high,nearest-tier,bullshit_bench_v2_leaderboard; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Claude Opus 4.8 is now in elo_refined.csv as claude-opus-4-8_adaptive-thinking-high (renamed from anthropic.claude-opus-4-8 in commit 108a9567), so the 'newest opus is 4.7' hold no longer holds. BullshitBench states reasoning=xhigh and clause 3 substitutes the highest available tier, which is the adaptive-thinking-high run. Follows the sibling claude-opus-4.7@reasoning=max mapping.","Effort axis is not encoded identically on both sides: xhigh is compared against an adaptive-thinking-high run, and adaptive thinking is a distinct configuration rather than a fixed effort tier.",cross_ref_reasoning_rule_2026_07,
eci,eci.csv,eci:0006,Claude Opus 4.8,claude-opus-4-8_adaptive-thinking-high,Claude Opus 4.8,accepted,reviewed_2026_07_eci_refresh,high,Anthropic,llm_chess_inventory,high,Claude Opus 4,epoch_eci_refresh_2026_07,,unknown,,reasoning,high,assume-highest,epoch_eci_scores_csv_2026_07_28; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"New in the 2026-07 ECI refresh. ECI publishes no reasoning effort, so clause 1 (assume-highest) applies: claude-opus-4-8_adaptive-thinking-high is the only and therefore the highest Claude Opus 4.8 entry in elo_refined.csv.","Effort is assumed, not sourced. LLM Chess ran Opus 4.8 only at adaptive-thinking high, so no lower tier was available to compare against.",cross_ref_eci_refresh_2026_07,
vals_index,vals_index.csv,vals_index:0004:anthropic_claude_opus_4_8,anthropic/claude-opus-4-8,claude-opus-4-8_adaptive-thinking-high,anthropic/claude-opus-4-8,variant-compatible,reviewed_2026_07_vals_index,high,Anthropic,llm_chess_inventory,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,reasoning,adaptive-thinking-high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals records the tier in compute_effort=max for Anthropic rows; the only LLM Chess run is adaptive-thinking-high, so clause 3 substitutes upward to it.","compute_effort=max vs an adaptive-thinking-high chess run: neither the effort label nor the thinking mode is identical, only the model.",cross_ref_vals_index_2026_07,
arc_agi_2,arc_agi_2.csv,arc_agi_2:0147:claude_opus_4_thinking_16k,Claude Opus 4 (Thinking 16K),claude-opus-4_thinking_16000,Claude Opus 4 (Thinking 16K),alias,qa_passed,high,Anthropic,llm_chess_inventory,high,Anthropic,2025-05-14,,reasoning_or_configured,16k,reasoning,thinking_16000,,arc_leaderboard_row; model_identity_review; llm_chess_inventory,16K thinking row exists in llm_chess.,,published_mapping_review,
