source_row_index,model_key,model_slug,provider,vals_index,corp_fin_v2,finance_agent,swebench,terminal_bench_2_1,vibe_code_bench,stderr,latency,cost_per_test,reasoning_effort,compute_effort,reasoning,verbosity,temperature,top_p,max_output_tokens,harness,eval_id,eval_row_id,eval_model_label,eval_variant_label,finance_bucket,coding_bucket,stated_effort,score_numeric,score_label,llm_chess_player,mapping_status,review_status,confidence,provider_or_family,version_or_release_clue,reasoning_or_system_config,eval_reasoning_kind,eval_reasoning_effort,llm_chess_reasoning_kind,llm_chess_reasoning_effort,reasoning_rule_applied,evidence_refs,rationale,open_questions,reviewer,has_numeric_score,made_accepted_mapping,joined_llm_chess_metric_row,made_metric_sample_pre_dedupe,survived_metric_dedupe,joined_llm_chess_row_with_non_null_elo,survived_elo_dedupe,metric_dedupe_kept_eval_row_id,elo_dedupe_kept_eval_row_id,has_llm_chess_match,has_llm_chess_elo,metric_drop_stage,metric_drop_side,metric_drop_reason,elo_drop_stage,elo_drop_side,elo_drop_reason,first_failed_stage,first_failed_side,first_failed_reason,provider_or_family_inferred
10,grok/grok-4.5,grok-4.5,SpaceXAI,65.299,68.415,48.751,86.275,67.79,72.754,1.406,388.451,1.248659,high,,,,0.7,0.95,,,vals_index,vals_index:0010:grok_grok_4_5,grok/grok-4.5,grok/grok-4.5,58.583,74.89325,high,65.299,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,grok,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Grok 4.5 has no LLM Chess run; the inventory reaches grok-4.3-high. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",SpaceXAI
11,openai/gpt-5.6-terra,gpt-5.6-terra,OpenAI,65.135,66.434,52.626,73.529,73.408,72.818,1.715,352.049,2.655165,xhigh,,,,,,128000.0,,vals_index,vals_index:0011:openai_gpt_5_6_terra,openai/gpt-5.6-terra,openai/gpt-5.6-terra,59.53,73.14325,xhigh,65.135,Vals Index v1.2,gpt-5.6-terra-2026-07-09-high,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=xhigh; LLM Chess offers only -high and -medium, so clause 3 substitutes upward to -high.","LLM Chess has no xhigh tier, so the compared efforts are not identical: xhigh vs high.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
12,zai/glm-5.2,glm-5.2,Zhipu AI,65.017,66.317,50.83,83.333,67.79,72.881,1.422,1122.395,2.076891,max,,,,1.0,0.95,131072.0,,vals_index,vals_index:0012:zai_glm_5_2,zai/glm-5.2,zai/glm-5.2,58.573499999999996,74.22125,max,65.017,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,zai,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"GLM 5.2 against the unversioned LLM Chess zai.glm-5. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.","zai.glm-5 carries no minor version, so it cannot be shown to be either 5.1 or 5.2.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Zhipu AI
13,google/gemini-3.5-flash,gemini-3.5-flash,Google,62.748,64.569,58.101,75.49,74.157,54.709,1.606,364.275,1.401628,high,,,,1.0,,65536.0,,vals_index,vals_index:0013:google_gemini_3_5_flash,google/gemini-3.5-flash,google/gemini-3.5-flash,61.335,64.76625,high,62.748,Vals Index v1.2,gemini-3.5-flash-medium,variant-compatible,reviewed_2026_07_vals_index,medium,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,medium,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. Vals states reasoning_effort=high, but gemini-3.5-flash-medium is the only LLM Chess tier for it, so clause 3's single candidate is medium.","Forced substitution, not agreement: the external row is high effort and the only chess run is medium. Direction-aware substitution has one candidate, so the mapping does not imply the two efforts match.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
14,google/gemini-3.6-flash,gemini-3.6-flash,Google,62.433,63.52,55.302,77.451,73.783,57.883,1.842,808.768,1.447512,high,,,,1.0,,65536.0,,vals_index,vals_index:0014:google_gemini_3_6_flash,google/gemini-3.6-flash,google/gemini-3.6-flash,59.411,66.75,high,62.433,Vals Index v1.2,gemini-3.6-flash-high,accepted,reviewed_2026_07_vals_index,high,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,Same model and the stated effort matches exactly: Vals reasoning_effort=high maps to gemini-3.6-flash-high under clause 2.,"gemini-3.6-flash-high has only 14 LLM Chess games, so its Elo is the least settled of the matched rows.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
15,anthropic/claude-sonnet-4-6,claude-sonnet-4-6,Anthropic,60.065,66.667,51.033,77.451,57.303,56.223,1.525,711.832,2.15182,,max,True,,1.0,,128000.0,,vals_index,vals_index:0015:anthropic_claude_sonnet_4_6,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-4-6,58.85,61.8,max,60.065,Vals Index v1.2,claude-sonnet-4-6_thinking-high,variant-compatible,reviewed_2026_07_vals_index,high,anthropic,vals_index_v1_2_2026_07_23,compute_effort=max,reasoning_or_configured,max,reasoning,thinking-high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model. The Vals row sets reasoning=True and compute_effort=max, so it is the thinking configuration: it maps to claude-sonnet-4-6_thinking-high rather than the non-thinking claude-sonnet-4-6. No max tier exists, so clause 3 substitutes upward to thinking-high.",compute_effort=max vs thinking-high; the efforts are not identical.,cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Anthropic
16,minimax/MiniMax-M3,MiniMax-M3,MiniMax,58.939,69.697,48.008,69.608,53.558,56.54,1.817,1477.674,1.500191,,,,,1.0,0.95,512000.0,,vals_index,vals_index:0016:minimax_minimax_m3,minimax/MiniMax-M3,minimax/MiniMax-M3,58.852500000000006,59.061499999999995,,58.939,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,minimax,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"MiniMax M3 against LLM Chess minimax-m2, minimax.minimax-m2.1 and minimax.minimax-m2.5. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",MiniMax
17,alibaba/qwen3.7-max,qwen3.7-max,Alibaba,57.487,65.385,48.353,66.667,61.049,52.88,1.572,1831.709,5.223348,,,,,0.7,,65536.0,,vals_index,vals_index:0017:alibaba_qwen3_7_max,alibaba/qwen3.7-max,alibaba/qwen3.7-max,56.869,58.369,,57.487,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,alibaba,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Qwen 3.7 Max against the unversioned LLM Chess qwen-max. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.","qwen-max carries no version, so which Qwen generation it ran is unrecorded.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Alibaba
18,deepseek/deepseek-v4-pro,deepseek-v4-pro,DeepSeek,55.615,61.888,44.081,75.49,50.187,55.905,1.685,1326.907,0.828183,max,,,,,,384000.0,,vals_index,vals_index:0018:deepseek_deepseek_v4_pro,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro,52.9845,59.37175,max,55.615,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,deepseek,vals_index_v1_2_2026_07_23,reasoning_effort=max,reasoning_or_configured,max,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"DeepSeek V4 Pro has no LLM Chess run; the inventory reaches deepseek-V3.2. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",DeepSeek
19,kimi/kimi-k2.6,kimi-k2.6,Moonshot AI,55.166,68.182,44.932,74.51,53.558,42.323,1.924,1189.192,0.705307,,,,,,0.95,128000.0,,vals_index,vals_index:0019:kimi_kimi_k2_6,kimi/kimi-k2.6,kimi/kimi-k2.6,56.557,53.1785,,55.166,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,kimi,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Kimi K2.6 against LLM Chess kimi-k2.5. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling. The versions are adjacent, which makes the temptation to merge them stronger and the merge no more valid.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Moonshot AI
20,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,Google,53.77,65.734,42.968,72.549,70.787,34.214,1.591,435.112,1.350398,high,,,,1.0,,65536.0,,vals_index,vals_index:0020:google_gemini_3_1_pro_preview,google/gemini-3.1-pro-preview,google/gemini-3.1-pro-preview,54.351,52.941,high,53.77,Vals Index v1.2,gemini-3.1-pro-preview-high,accepted,reviewed_2026_07_vals_index,high,google,vals_index_v1_2_2026_07_23,reasoning_effort=high,reasoning_or_configured,high,reasoning,high,effort_to_effort,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,Same model and the stated effort matches exactly: Vals reasoning_effort=high maps to gemini-3.1-pro-preview-high under clause 2.,,cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,Google
21,zai/glm-5.1,glm-5.1,Zhipu AI,52.452,65.268,44.79,72.549,56.929,32.804,1.607,898.864,0.863172,,,,,1.0,0.95,131072.0,,vals_index,vals_index:0021:zai_glm_5_1,zai/glm-5.1,zai/glm-5.1,55.028999999999996,48.7715,,52.452,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,zai,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"GLM 5.1 against the unversioned LLM Chess zai.glm-5. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.","zai.glm-5 carries no minor version, so it cannot be shown to be either 5.1 or 5.2.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Zhipu AI
22,openai/gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,OpenAI,52.425,60.256,45.407,67.647,54.682,42.523,2.054,1050.167,0.65965,xhigh,,,,,,128000.0,,vals_index,vals_index:0022:openai_gpt_5_4_mini_2026_03_17,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.4-mini-2026-03-17,52.8315,51.84375,xhigh,52.425,Vals Index v1.2,gpt-5.4-mini-high,variant-compatible,reviewed_2026_07_vals_index,high,openai,vals_index_v1_2_2026_07_23,reasoning_effort=xhigh,reasoning_or_configured,xhigh,reasoning,high,nearest-tier,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv; reasoning_effort_rule:README.md#stage-ownership,"Same model; the Vals model_key pins the 2026-03-17 snapshot that LLM Chess also ran. Vals states reasoning_effort=xhigh; LLM Chess offers -high and -low, so clause 3 substitutes upward to -high.","LLM Chess has no xhigh tier, so the compared efforts are not identical: xhigh vs high.",cross_ref_vals_index_2026_07,True,True,True,True,True,True,True,,,True,True,,,,,,,,,,OpenAI
23,alibaba/qwen3.7-plus,qwen3.7-plus,Alibaba,52.331,62.005,41.245,66.667,52.809,46.94,1.628,832.609,0.351425,,,,,0.7,,65536.0,,vals_index,vals_index:0023:alibaba_qwen3_7_plus,alibaba/qwen3.7-plus,alibaba/qwen3.7-plus,51.625,53.339,,52.331,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,alibaba,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Qwen 3.7 Plus against the unversioned LLM Chess qwen-plus. Same family but a different version is not a match, so this stays unmatched rather than being mapped to the nearest sibling.","qwen-plus carries no version, so which Qwen generation it ran is unrecorded.",cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Alibaba
24,xiaomi/mimo-v2.5,mimo-v2.5,Xiaomi,51.57,60.14,37.61,64.706,60.674,48.148,1.569,585.32,0.039823,,,,,1.0,0.95,128000.0,,vals_index,vals_index:0024:xiaomi_mimo_v2_5,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5,48.875,55.419,,51.57,Vals Index v1.2,,unmatched,reviewed_2026_07_vals_index,none,xiaomi,vals_index_v1_2_2026_07_23,config_unspecified,unknown,,,,,vals_index_v1_2_payload; elo_refined.csv; models_metadata.csv,"Xiaomi MiMo v2.5 has no LLM Chess run. No LLM Chess counterpart exists at any version, so there is nothing to map; the row stays visible in coverage and out of every statistic.",,cross_ref_vals_index_2026_07,True,False,False,False,False,False,False,,,False,False,accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",accepted_mapping_rows,mapping,"Mapping status is unmatched, so no LLM Chess player is assigned.",Xiaomi
