Model,Score,90% CI,llm_chess_model
Claude 3.5 Haiku,127,(120 - 131),claude-3-5-haiku
Llama 3.3 70B,127,(123 - 130),llama-3.3-70b
Gemini 1.5 Pro (May 2024),127,(122 - 130),gemini-1.5-pro-preview
GPT-4o mini,127,(121 - 129),gpt-4o-mini
Claude 3 Opus,127,(122 - 130),claude-3-opus
GPT-4 (Mar 2023),126,(120 - 132),gpt-4
Llama 3.2 90B,126,(120 - 127),
Llama 3.1-70B,126,(119 - 128),
Qwen2-72B,125,(119 - 127),
"DeepSeek-V2 (MoE-236B, May 2024)",125,(118 - 127),
Amazon Nova Pro,124,(108 - 127),
Llama 3-70B,123,(117 - 126),llama-3-70b-instruct-awq
Gemini 1.5 Flash (May 2024),123,(116 - 125),gemini-1.5-flash-001
Gemma 2 27B,122,(115 - 124),gemma-2-27b-it@q6_k_l
GPT-4 (Jun 2023),122,(115 - 124),gpt-4
phi-3-small 7.4B,122,(114 - 124),
Mixtral 8x22B,121,(112 - 124),
Claude Instant,121,(114 - 124),
phi-3-medium 14B,121,(115 - 124),
Mistral Large,121,(113 - 124),
Claude 3 Sonnet,120,(112 - 123),claude-3-sonnet
Claude 2,120,(112 - 124),claude-2
Gemma 2 9B,120,(112 - 123),gemma-2-9b-it-8bit
Qwen2.5-Coder-32B,119,(110 - 125),
Mistral NeMo,118,(110 - 122),mistral-nemo-12b-instruct
Claude 2.1,118,(111 - 121),claude-2-1
GPT-3.5 Turbo (Nov 2023),118,(110 - 121),gpt-35-turbo-1106
Mixtral 8x7B,118,(111 - 121),
Claude 3 Haiku,118,(110 - 121),claude-3-haiku
Yi-34B,117,(108 - 121),
phi-3-mini 3.8B,117,(109 - 121),
Gemini 1.0 Pro,117,(110 - 120),
Stable Beluga 2,117,(108 - 120),
Llama 3-8B,116,(108 - 119),llama3-8b-8192
Qwen2.5-Coder-14B,116,(107 - 122),
Llama 3.1-8B,115,(104 - 122),llama3.1-8b
PaLM 2-L,115,(105 - 128),
GPT-3.5 Turbo (Jan 2024),114,(105 - 118),gpt-35-turbo-0125
Llama 2-70B,114,(106 - 118),
GPT-3.5 Turbo (Jun 2023),113,(105 - 118),gpt-35-turbo-0613
Qwen2.5-Coder (7B),113,(102 - 119),
Qwen-14B,113,(104 - 118),
Mistral 7B v0.1,112,(103 - 116),
Falcon-180B,112,(103 - 120),
internlm-20b,112,(103 - 117),
Gemma 7B,112,(103 - 116),
LLaMA-65B,110,(101 - 115),
Falcon 2 11B,109,(101 - 115),
DeepSeek-Coder-V2-Lite-Base,109,(100 - 114),
PaLM 2-M,108,(99 - 118),
Phi-2,108,(87 - 114),
Qwen2.5-Coder-3B,107,(95 - 115),
Nemotron-4 15B,107,(98 - 113),
Yi-9B,107,(97 - 115),
LLaMA-33B,107,(98 - 112),
Qwen-7B,107,(96 - 112),
PaLM 2-S,106,(97 - 115),
Llama 2-13B,106,(96 - 111),
Llama 2-34B,105,(95 - 111),
StarCoder 2 15B,105,(94 - 112),
Yi 6B,104,(94 - 110),
Falcon-40B,104,(95 - 110),
Baichuan2-13B,103,(91 - 110),
Qwen2.5-Coder (1.5B),103,(88 - 111),
internlm-7b,103,(90 - 110),
INTELLECT-1,101,(90 - 107),
MPT-30B,100,(91 - 107),
LLaMA-13B,100,(90 - 107),
Llama 2-7B,99,(87 - 106),llama-2-7b-chat
chatglm2-6b,99,(80 - 107),
LLaMA-7B,96,(85 - 104),
Baichuan 2-7B,96,(84 - 105),
DeepSeek Coder 33B,96,(84 - 104),
Falcon-7B,95,(82 - 103),
CodeQwen1.5-7B,94,(80 - 103),
vicuna-13b-v1.1,94,(83 - 103),
MPT-7B,94,(82 - 102),
Gemma 2B,94,(81 - 101),
StarCoder 2 7B,93,(79 - 102),
XGen-7B,93,(81 - 101),
Qwen-1_8B,93,(72 - 102),
open_llama_7b,91,(77 - 100),
Phi-1.5,91,(69 - 102),
Baichuan1-7B,90,(77 - 100),
RedPajama-INCITE-7B-Base,90,(74 - 99),
Dolly 2.0-12b,89,(76 - 98),
DeepSeek Coder 6.7B,89,(74 - 99),
StarCoder 2 3B,88,(75 - 99),
Qwen2.5-Coder-0.5B,88,(61 - 100),
Cerebras-GPT-13B,83,(66 - 93),
DeepSeek Coder 1.3B,64,(47 - 78),
stablelm-tuned-alpha-7b,55,(28 - 75),
