Model,Score,90% CI,llm_chess_model
Gemini 2.5 Pro (May 2025),143,(139 - 149),gemini-2.5-pro-preview-05-06
Claude Sonnet 4,143,(139 - 150),claude-sonnet-4_thinking_16000
Gemini 2.5 Flash (May 2025),142,(140 - 148),gemini-2.5-flash
DeepSeek-R1 (May 2025),142,(139 - 148),deepseek-r1-0528
Claude 3.7 Sonnet,142,(140 - 148),claude-3-7-sonnet_thinking_10000
o3-mini,142,(139 - 148),o3-mini-high
GLM-4.6,141,(133 - 147),
Grok-3 mini,141,(139 - 148),grok-3-mini-beta-high
Kimi K2 (Sep 2025),141,(138 - 147),
GPT-5 nano,141,(137 - 148),gpt-5-nano-high
gpt-oss-120b,141,(135 - 148),gpt-oss-120b-high
Gemini 2.5 Flash (Apr 2025),141,(137 - 147),gemini-2.5-flash
Kimi K2 (Jul 2025),141,(137 - 147),
Gemini 2.5 Flash (Jun 2025),140,(136 - 146),gemini-2.5-flash
DeepSeek-R1,140,(137 - 145),deepseek-r1
Qwen3-235B-A22B,140,(136 - 145),
Grok 3,139,(136 - 145),grok-3-beta
Qwen3-235B-A22B-Instruct (Jul 2025),139,(136 - 145),qwen-3-235b-a22b-instruct-2507
DeepSeek-V3.1,139,(136 - 151),
GPT-4.5,138,(135 - 143),gpt-4.5-preview
GPT-4.1,138,(135 - 143),gpt-4.1
DeepSeek-V3 (Mar 2025),137,(135 - 143),deepseek-v3-0324
o1-mini,137,(133 - 143),o1-mini
Gemini 2.0 Flash Thinking (Jan 2025),136,(132 - 142),gemini-2.0-flash-thinking-exp-01-21
o1-preview,136,(133 - 143),o1-preview
Gemini 2.0 Flash (Feb 2025),136,(134 - 142),gemini-2.0-flash-001
GPT-4.1 mini,136,(133 - 141),gpt-4.1-mini
Gemini 2.0 Pro,136,(132 - 142),
Mistral Medium 3,135,(126 - 140),
Gemini 2.0 Flash (Dec 2024),135,(126 - 141),gemini-2.0-flash-001
Claude 3.5 Sonnet (October 2024),134,(131 - 143),claude-3-5-sonnet-v2
Qwen2.5-Max,133,(130 - 140),qwen-max
Magistral Small 1.1,133,(129 - 138),magistral-small
DeepSeek-V3,133,(130 - 138),deepseek-v3
Llama 4 Maverick,133,(130 - 139),llama-4-maverick-17b-128e-instruct
Gemini 1.5 Pro (Sept 2024),133,(130 - 138),gemini-1.5-pro-preview
Phi-4,131,(128 - 136),phi-4
Gemma 3 27B,131,(127 - 137),google_gemma-3-27b-it@iq4_xs
GPT-4.1 nano,131,(128 - 136),gpt-4.1-nano
Grok-2 (Dec 2024),131,(128 - 135),grok-2
Llama 4 Scout,131,(127 - 136),
Gemini 1.5 Flash (Sep 2024),130,(126 - 135),gemini-1.5-flash-001
Claude 3.5 Sonnet,130,(128 - 136),claude-3-5-sonnet
Qwen2.5-72B,129,(125 - 133),qwen2.5-72b-instruct
GPT-4o (Nov 2024),129,(127 - 135),gpt-4o-2024-11-20
GPT-4o (Aug 2024),129,(127 - 133),gpt-4o-2024-08-06
Llama 3.1-405B,129,(126 - 134),
GPT-4o (May 2024),129,(126 - 134),gpt-4o-2024-05-13
Mistral Large 2 (Nov 2024),129,(125 - 133),
Gemini 1.5 Pro (Feb 2024),128,(125 - 136),gemini-1.5-pro-preview
GPT-4 Turbo (Apr 2024),128,(125 - 132),gpt-4-turbo
Mistral Large 2 (Jul 2024),128,(125 - 132),
Claude 3.5 Haiku,128,(122 - 133),claude-3-5-haiku
Llama 3.3 70B,128,(125 - 133),llama-3.3-70b
Gemini 1.5 Pro (May 2024),127,(125 - 134),gemini-1.5-pro-preview
GPT-4o mini,127,(123 - 131),gpt-4o-mini
Claude 3 Opus,127,(124 - 132),claude-3-opus
GPT-4 (Mar 2023),126,(122 - 134),gpt-4
Llama 3.2 90B,126,(123 - 130),
Qwen2-72B,126,(122 - 130),
Llama 3.1-70B,126,(123 - 131),
"DeepSeek-V2 (MoE-236B, May 2024)",124,(121 - 129),
Llama 3-70B,123,(120 - 127),llama-3-70b-instruct-awq
Gemini 1.5 Flash (May 2024),123,(119 - 126),gemini-1.5-flash-001
Gemma 2 27B,122,(119 - 126),gemma-2-27b-it@q6_k_l
GPT-4 (Jun 2023),122,(119 - 126),gpt-4
phi-3-small 7.4B,121,(118 - 125),
Mixtral 8x22B,121,(114 - 125),
Mistral Large,121,(116 - 126),
phi-3-medium 14B,121,(118 - 125),
Claude Instant,121,(117 - 125),
Claude 3 Sonnet,120,(112 - 124),claude-3-sonnet
Claude 2,120,(116 - 127),claude-2
Gemma 2 9B,120,(116 - 122),gemma-2-9b-it-8bit
Qwen2.5-Coder-32B,119,(112 - 126),
Mistral NeMo,118,(114 - 123),mistral-nemo-12b-instruct
Claude 2.1,118,(114 - 123),claude-2-1
GPT-3.5 Turbo (Nov 2023),118,(110 - 122),gpt-35-turbo-1106
Mixtral 8x7B,118,(115 - 121),
Claude 3 Haiku,118,(113 - 121),claude-3-haiku
Yi-34B,117,(114 - 121),
Gemini 1.0 Pro,117,(115 - 122),
phi-3-mini 3.8B,117,(112 - 120),
Stable Beluga 2,116,(114 - 119),
Llama 3-8B,116,(113 - 119),llama3-8b-8192
Llama 3.1-8B,116,(105 - 121),llama3.1-8b
GPT-3.5 Turbo (Jan 2024),114,(106 - 118),gpt-35-turbo-0125
Llama 2-70B,113,(109 - 117),
GPT-3.5 Turbo (Jun 2023),113,(109 - 122),gpt-35-turbo-0613
Qwen2.5-Coder (7B),113,(104 - 119),
Qwen-14B,112,(109 - 117),
Mistral 7B v0.1,111,(108 - 115),
Falcon-180B,111,(107 - 117),
Gemma 7B,111,(108 - 116),
LLaMA-65B,109,(107 - 113),
Falcon 2 11B,109,(106 - 116),
Phi-2,107,(78 - 112),
Nemotron-4 15B,107,(103 - 112),
LLaMA-33B,107,(104 - 110),
Qwen-7B,106,(100 - 111),
Llama 2-13B,105,(101 - 109),
StarCoder 2 15B,104,(96 - 112),
Llama 2-34B,104,(102 - 108),
Yi 6B,104,(99 - 109),
Falcon-40B,104,(100 - 109),
Qwen2.5-Coder (1.5B),103,(91 - 110),
Baichuan2-13B,102,(94 - 109),
INTELLECT-1,100,(96 - 104),
MPT-30B,100,(97 - 103),
LLaMA-13B,100,(95 - 103),
Llama 2-7B,98,(94 - 103),llama-2-7b-chat
DeepSeek Coder 33B,96,(88 - 103),
LLaMA-7B,96,(89 - 100),
Baichuan 2-7B,96,(90 - 102),
Falcon-7B,94,(88 - 99),
Gemma 2B,94,(89 - 97),
StarCoder 2 7B,93,(83 - 100),
MPT-7B,93,(86 - 98),
XGen-7B,92,(86 - 96),
Phi-1.5,90,(59 - 100),
Baichuan1-7B,90,(85 - 96),
DeepSeek Coder 6.7B,89,(81 - 96),
StarCoder 2 3B,89,(79 - 95),
Dolly 2.0-12b,87,(80 - 94),
Cerebras-GPT-13B,80,(69 - 86),
DeepSeek Coder 1.3B,62,(56 - 73),
