llm_chess_player,review_status,provider_or_family,date_released,reasoning_status,reasoning_kind_inferred,reasoning_effort_inferred
claude-v3-7-sonnet-thinking,metadata-only,claude,2025-02,reasoning,reasoning,
claude-v3-haiku,metadata-only,claude,2024-03,not_reasoning,not_reasoning,
claude-v3-opus,metadata-only,claude,2024-03,not_reasoning,not_reasoning,
claude-v4-opus,metadata-only,claude,2025-05,not_reasoning,not_reasoning,
claude-v4-opus-thinking_16000,metadata-only,claude,2025-05,reasoning,reasoning,thinking_16000
claude-v4-sonnet,metadata-only,claude,2025-05,not_reasoning,not_reasoning,
claude-v4-sonnet-thinking_16000,metadata-only,claude,2025-05,reasoning,reasoning,thinking_16000
cursor_cli_composer_1,elo-only,cursor,,,unknown,
cursor_cli_composer_1.5,elo-only,cursor_cli_composer_1,,,unknown,
cursor_cli_composer_2,exact-match,cursor,2026-03,reasoning,reasoning,
deephermes-3-llama-3-8b-preview@q8,exact-match,deephermes,2024-07,not_reasoning,not_reasoning,
deepseek-V3.2_non-reasoning,exact-match,deepseek-V3,2025-12,not_reasoning,not_reasoning,
deepseek-chat,metadata-only,deepseek,2024-12,not_reasoning,not_reasoning,
deepseek-chat-0324,metadata-only,deepseek,2025-03,not_reasoning,not_reasoning,
deepseek-r1,exact-match,deepseek,2025-01,reasoning,reasoning,
deepseek-r1-0528,exact-match,deepseek,2025-05,reasoning,reasoning,
deepseek-r1-distill-qwen-14b@q8_0,exact-match,deepseek,2025-01,reasoning,reasoning,
deepseek-r1-distill-qwen-32b@q4_k_m,metadata-only,deepseek,2025-01,reasoning,reasoning,
deepseek-r1-distill-qwen-32b@q4_k_m|isol_temp06,exact-match,deepseek,2025-01,reasoning,reasoning,
deepseek-reasoner,metadata-only,deepseek,2025-01,reasoning,reasoning,
deepseek-v3,exact-match,deepseek,2024-12,not_reasoning,not_reasoning,
deepseek-v3-0324,exact-match,deepseek,2024-12,not_reasoning,not_reasoning,
gemini-1.5-flash-001,exact-match,gemini-1,2024-05,not_reasoning,not_reasoning,
gemini-1.5-pro-preview,exact-match,gemini-1,2024-04,not_reasoning,not_reasoning,
gemini-2.0-flash-001,exact-match,gemini-2,2025-02,not_reasoning,not_reasoning,
gemini-2.0-flash-exp,exact-match,gemini-2,2024-12,not_reasoning,not_reasoning,
gemini-2.0-flash-lite-001,exact-match,gemini-2,2025-02,not_reasoning,not_reasoning,
gemini-2.0-flash-lite-preview,exact-match,gemini-2,2025-02,not_reasoning,not_reasoning,
gemini-2.0-flash-thinking-exp-01-21,exact-match,gemini-2,2025-01,reasoning,reasoning,
gemini-2.0-flash-thinking-exp-1219,exact-match,gemini-2,2024-12,reasoning,reasoning,
gemini-2.5-flash,exact-match,gemini-2,2025-06,reasoning,reasoning,
gemini-2.5-pro,exact-match,gemini-2,2025-06,reasoning,reasoning,
gemini-2.5-pro-preview-03-25,exact-match,gemini-2,2025-04,reasoning,reasoning,
gemini-2.5-pro-preview-05-06,exact-match,gemini-2,2025-05,reasoning,reasoning,
gemini-3-flash-preview,exact-match,gemini,2025-12, reasoning,reasoning,
gemini-3-pro-preview,exact-match,gemini,2025-11, reasoning,reasoning,
gemini-3.1-flash-lite-preview,exact-match,gemini-3,2026-03,reasoning,reasoning,
gemini-3.1-pro-preview,exact-match,gemini-3,2026-02,reasoning,reasoning,
gemma-2-27b-it@q6_k_l,exact-match,gemma,2024-06,not_reasoning,not_reasoning,
gemma-2-9b-it-8bit,exact-match,gemma,2024-06,not_reasoning,not_reasoning,
gemma-3-4b-it@iq4_qs,exact-match,gemma,2025-03,not_reasoning,not_reasoning,
gemma-3-4b-it@iq4_qs@PGN,exact-match,gemma,2025-03,not_reasoning,not_reasoning,
gemma2-9b-it,exact-match,gemma2,2024-06,not_reasoning,not_reasoning,
glm-4.7-flash@q4,exact-match,glm-4,2026-01,reasoning,reasoning,
google_gemma-3-12b-it@iq4_xs,exact-match,google,2025-03,not_reasoning,not_reasoning,
google_gemma-3-12b-it@q8_0,exact-match,google,2025-03,not_reasoning,not_reasoning,
google_gemma-3-27b-it@iq4_xs,exact-match,google,2025-03,not_reasoning,not_reasoning,
google_gemma-3-4b-it@bf16,exact-match,google,2025-03,not_reasoning,not_reasoning,
google_gemma-3-4b-it@q8_0,exact-match,google,2025-03,not_reasoning,not_reasoning,
gpt-35-turbo-0125,exact-match,gpt,2024-01,not_reasoning,not_reasoning,
gpt-35-turbo-0301,exact-match,gpt,2023-03,not_reasoning,not_reasoning,
gpt-35-turbo-0613,exact-match,gpt,2023-06,not_reasoning,not_reasoning,
gpt-35-turbo-1106,exact-match,gpt,2023-11,not_reasoning,not_reasoning,
gpt-4,exact-match,gpt,2023-06,not_reasoning,not_reasoning,
gpt-4-32k,exact-match,gpt,2023-06,not_reasoning,not_reasoning,
gpt-4-turbo,exact-match,gpt,2024-04,not_reasoning,not_reasoning,
gpt-4.1,exact-match,gpt-4,2025-04,not_reasoning,not_reasoning,
gpt-4.1-mini,exact-match,gpt-4,2025-04,not_reasoning,not_reasoning,
gpt-4.1-nano,exact-match,gpt-4,2025-04,not_reasoning,not_reasoning,
gpt-4.5-preview,exact-match,gpt-4,2025-02,not_reasoning,not_reasoning,
gpt-4o-2024-05-13,exact-match,gpt,2024-05,not_reasoning,not_reasoning,
gpt-4o-2024-08-06,exact-match,gpt,2024-08,not_reasoning,not_reasoning,
gpt-4o-2024-11-20,exact-match,gpt,2024-11,not_reasoning,not_reasoning,
gpt-4o-mini,exact-match,gpt,2024-07,not_reasoning,not_reasoning,
gpt-5-chat,exact-match,gpt,2025-08,not_reasoning,not_reasoning,
gpt-5-codex-high,metadata-only,gpt,2025-09,reasoning,reasoning,high
gpt-5-codex-low,metadata-only,gpt,2025-09,reasoning,reasoning,low
gpt-5-codex-medium,metadata-only,gpt,2025-09,reasoning,reasoning,medium
gpt-5-high,metadata-only,gpt,2025-08,reasoning,reasoning,high
gpt-5-low,exact-match,gpt,2025-08,reasoning,reasoning,low
gpt-5-medium,exact-match,gpt,2025-08,reasoning,reasoning,medium
gpt-5-mini-high,exact-match,gpt,2025-08,reasoning,reasoning,high
gpt-5-mini-low,exact-match,gpt,2025-08,reasoning,reasoning,low
gpt-5-mini-medium,exact-match,gpt,2025-08,reasoning,reasoning,medium
gpt-5-nano-high,exact-match,gpt,2025-08,reasoning,reasoning,high
gpt-5-nano-low,exact-match,gpt,2025-08,reasoning,reasoning,low
gpt-5-nano-medium,exact-match,gpt,2025-08,reasoning,reasoning,medium
gpt-5.1-chat,exact-match,gpt-5,2025-11,not_reasoning,not_reasoning,
gpt-5.1-codex-high,metadata-only,gpt-5,2025-11,reasoning,reasoning,high
gpt-5.1-codex-low,exact-match,gpt-5,2025-11,reasoning,reasoning,low
gpt-5.1-codex-medium,metadata-only,gpt-5,2025-11,reasoning,reasoning,medium
gpt-5.1-codex-mini-high,exact-match,gpt-5,2025-11,reasoning,reasoning,high
gpt-5.1-codex-mini-low,metadata-only,gpt-5,2025-11,reasoning,reasoning,low
gpt-5.1-codex-mini-medium,metadata-only,gpt-5,2025-11,reasoning,reasoning,medium
gpt-5.1-high,metadata-only,gpt-5,2025-11,reasoning,reasoning,high
gpt-5.1-low,exact-match,gpt-5,2025-11,reasoning,reasoning,low
gpt-5.1-medium,exact-match,gpt-5,2025-11,reasoning,reasoning,medium
gpt-5.2-chat,exact-match,gpt-5,2025-12,not_reasoning,not_reasoning,
gpt-5.2-high,metadata-only,gpt-5,2025-12,reasoning,reasoning,high
gpt-5.2-low,exact-match,gpt-5,2025-12,reasoning,reasoning,low
gpt-5.2-medium,exact-match,gpt-5,2025-12,reasoning,reasoning,medium
gpt-5.4-high,metadata-only,gpt-5,2026-03,reasoning,reasoning,high
gpt-5.4-low,exact-match,gpt-5,2026-03,reasoning,reasoning,low
gpt-5.4-medium,metadata-only,gpt-5,2026-03,reasoning,reasoning,medium
gpt-5.4-mini-high,exact-match,gpt-5,2026-03,reasoning,reasoning,high
gpt-5.4-nano-high,exact-match,gpt-5,2026-03,reasoning,reasoning,high
gpt-oss-120b,metadata-only,gpt,2025-08,reasoning,reasoning,
gpt-oss-120b-high,exact-match,gpt,2025-08,reasoning,reasoning,high
gpt-oss-120b-low,exact-match,gpt,2025-08,reasoning,reasoning,low
gpt-oss-120b-medium,exact-match,gpt,2025-08,reasoning,reasoning,medium
gpt-oss-20b,metadata-only,gpt,2025-08,reasoning,reasoning,
gpt-oss-20b-high,exact-match,gpt,2025-08,reasoning,reasoning,high
gpt-oss-20b-low,exact-match,gpt,2025-08,reasoning,reasoning,low
gpt-oss-20b-medium,exact-match,gpt,2025-08,reasoning,reasoning,medium
granite-3.1-8b-instruct,exact-match,granite-3,2024-12,not_reasoning,not_reasoning,
grok-2,exact-match,grok,2024-08,not_reasoning,not_reasoning,
grok-3-beta,exact-match,grok,2025-02,not_reasoning,not_reasoning,
grok-3-fast-beta,metadata-only,grok,2025-02,not_reasoning,not_reasoning,
grok-3-mini-beta,exact-match,grok,2025-02,not_reasoning,not_reasoning,
grok-3-mini-beta-high,exact-match,grok,2025-02,reasoning,reasoning,high
grok-3-mini-beta-low,exact-match,grok,2025-02,reasoning,reasoning,low
grok-3-mini-fast-beta,metadata-only,grok,2025-02,not_reasoning,not_reasoning,
grok-3-mini-high,metadata-only,grok,2025-02,reasoning,reasoning,high
grok-3-mini-low,metadata-only,grok,2025-02,reasoning,reasoning,low
grok-4-1-fast-non-reasoning,exact-match,grok,2025-11,not_reasoning,not_reasoning,
grok-4-1-fast-reasoning,exact-match,grok,2025-11,reasoning,reasoning,
grok-4-20-non-reasoning,exact-match,grok,2026-03,not_reasoning,not_reasoning,
grok-4-20-reasoning,exact-match,grok,2026-03,reasoning,reasoning,
grok-4-fast-non-reasoning,exact-match,grok,2025-07,not_reasoning,not_reasoning,
grok-4-fast-reasoning,exact-match,grok,2025-07,reasoning,reasoning,
internlm3-8b-instruct,exact-match,internlm3,2025-01,not_reasoning,not_reasoning,
k2-think@iq4_xs,exact-match,k2,2025-09,reasoning,reasoning,
kimi-k2-instruct,exact-match,kimi,2025-07,not_reasoning,not_reasoning,
kimi-k2.5,exact-match,kimi-k2,2026-01,reasoning,reasoning,
llama-2-7b-chat,exact-match,llama,2023-06,not_reasoning,not_reasoning,
llama-3-70b-instruct-awq,exact-match,llama,2024-04,not_reasoning,not_reasoning,
llama-3.1-tulu-3-8b@q8_0,exact-match,llama-3,2024-11,not_reasoning,not_reasoning,
llama-3.3-70b,exact-match,llama-3,2024-12,not_reasoning,not_reasoning,
llama-4-maverick-17b-128e-instruct,exact-match,llama,2025-04,not_reasoning,not_reasoning,
llama-4-scout-17b-16e-instruct,metadata-only,llama,2025-04,not_reasoning,not_reasoning,
llama-4-scout-cerebras,metadata-only,llama,2025-04,not_reasoning,not_reasoning,
llama3-8b-8192,exact-match,llama3,2024-04,not_reasoning,not_reasoning,
llama3.1-8b,exact-match,llama3,2024-07,not_reasoning,not_reasoning,
lvl-10_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-10_vs_o3-2025-04-16-medium_timeout-60m,metadata-only,lvl,2025-04,unknown,unknown,medium
lvl-1_vs_3x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,metadata-only,lvl,2025-04,unknown,unknown,medium
lvl-1_vs_5x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,metadata-only,lvl,2025-04,unknown,unknown,medium
lvl-1_vs_7x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium,metadata-only,lvl,2025-04,unknown,unknown,medium
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-10000,metadata-only,lvl,2025-02,unknown,reasoning,
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-5000,metadata-only,lvl,2025-02,unknown,reasoning,
lvl-1_vs_gemini-25pro-t03_mini41-t00_mini41-t03,metadata-only,lvl,2025-02,unknown,unknown,
lvl-1_vs_grok-3-mini-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-1_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-1_vs_o3-mini-2025-01-31-high,metadata-only,lvl,2025-01,unknown,unknown,high
lvl-1_vs_o3-mini-2025-01-31-low,metadata-only,lvl,2025-01,unknown,unknown,low
lvl-1_vs_o3-mini-2025-01-31-medium,metadata-only,lvl,2025-01,unknown,unknown,medium
lvl-1_vs_o4-mini-2025-04-16-high,metadata-only,lvl,2025-04,unknown,unknown,high
lvl-1_vs_o4-mini-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-1_vs_o4-mini-2025-04-16-medium,metadata-only,lvl,2025-04,unknown,unknown,medium
lvl-2_vs_grok-3-mini-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-2_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-2_vs_o3-mini-2025-01-31-high,metadata-only,lvl,2025-01,unknown,unknown,high
lvl-2_vs_o4-mini-2025-04-16-high,metadata-only,lvl,2025-04,unknown,unknown,high
lvl-2_vs_o4-mini-2025-04-16-high_timeout-20m,metadata-only,lvl,2025-04,unknown,unknown,high
lvl-2_vs_o4-mini-2025-04-16-high_timeout-60m,metadata-only,lvl,2025-04,unknown,unknown,high
lvl-3_vs_grok-3-mini-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-3_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-4_vs_grok-3-mini-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-4_vs_grok-3-mini-fast-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-4_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
lvl-5_vs_grok-3-mini-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-5_vs_grok-3-mini-fast-beta-high,metadata-only,lvl,2025-02,unknown,unknown,high
lvl-5_vs_o3-2025-04-16-low,metadata-only,lvl,2025-04,unknown,unknown,low
magistral-small,exact-match,magistral,2025-06,not_reasoning,not_reasoning,
mercury-coder-small,exact-match,mercury,2025-04,not_reasoning,not_reasoning,
minimax-m2,exact-match,minimax,2025-10,not_reasoning,not_reasoning,max
minimax.minimax-m2.1,exact-match,minimax,2025-12,not_reasoning,not_reasoning,max
minimax.minimax-m2.5,exact-match,minimax,2026-02,not_reasoning,not_reasoning,max
ministral-3-14b-reasoning@q8,metadata-only,ministral,2025-12,reasoning,reasoning,
ministral-8b-instruct,exact-match,ministral,2024-10,not_reasoning,not_reasoning,
mistral-large-3-675b-instruct,metadata-only,mistral,2025-12,not_reasoning,not_reasoning,
mistral-nemo-12b-instruct,exact-match,mistral,2024-07,not_reasoning,not_reasoning,
mistral-small-24b-instruct@q4_k_m,exact-match,mistral,2025-01,not_reasoning,not_reasoning,
mistral-small-instruct,exact-match,mistral,2024-09,not_reasoning,not_reasoning,
nemotron-3-nano@q3_k_l,exact-match,nemotron,2025-12,not_reasoning,not_reasoning,
non-deepseek-r1-t03_mini41-t10_mini41-t03,exact-match,non,2025-01,unknown,unknown,
non-gemini-25pro-t03_mini41-t00_mini41-t03,exact-match,non,2025-04,unknown,unknown,
o1-high,metadata-only,o1,2024-12,reasoning,reasoning,high
o1-low,exact-match,o1,2024-12,reasoning,reasoning,low
o1-medium,exact-match,o1,2024-12,reasoning,reasoning,medium
o1-mini,exact-match,o1,2024-09,reasoning,reasoning,
o1-mini-high,metadata-only,o1,2025-04,reasoning,reasoning,high
o1-mini-low,metadata-only,o1,2025-04,reasoning,reasoning,low
o1-mini-medium,metadata-only,o1,2025-04,reasoning,reasoning,medium
o1-preview,exact-match,o1,2024-09,reasoning,reasoning,
o3,metadata-only,o3,2025-04,reasoning,reasoning,
o3-high,metadata-only,o3,2025-04,reasoning,reasoning,high
o3-low,exact-match,o3,2025-04,reasoning,reasoning,low
o3-medium,exact-match,o3,2025-04,reasoning,reasoning,medium
o3-mini-high,exact-match,o3,2025-01,reasoning,reasoning,high
o3-mini-low,exact-match,o3,2025-01,reasoning,reasoning,low
o3-mini-medium,exact-match,o3,2025-01,reasoning,reasoning,medium
o4-mini,metadata-only,o4,2025-04,reasoning,reasoning,
o4-mini-high,exact-match,o4,2025-04,reasoning,reasoning,high
o4-mini-low,exact-match,o4,2025-04,reasoning,reasoning,low
o4-mini-low@PGN,exact-match,o4,2025-04,reasoning,reasoning,low
o4-mini-medium,exact-match,o4,2025-04,reasoning,reasoning,medium
phi-4,exact-match,phi,2025-03,not_reasoning,not_reasoning,
qwen-3-235b-a22b-instruct-2507,exact-match,qwen,2025-07,not_reasoning,not_reasoning,
qwen-3-32b,exact-match,qwen,2025-04,reasoning,reasoning,
qwen-max,exact-match,qwen,2025-01,not_reasoning,not_reasoning,max
qwen-plus,exact-match,qwen,2025-01,not_reasoning,not_reasoning,
qwen-turbo,exact-match,qwen,2024-11,not_reasoning,not_reasoning,
qwen2.5-14b-instruct-1m,exact-match,qwen2,2024-09,not_reasoning,not_reasoning,
qwen2.5-14b-instruct@q8_0,exact-match,qwen2,2024-09,not_reasoning,not_reasoning,
qwen2.5-72b-instruct,exact-match,qwen2,2024-09,not_reasoning,not_reasoning,
qwen2.5-7b-chess-mmxl@f16,exact-match,qwen2,2025-06,not_reasoning,not_reasoning,
qwen2.5-7b-instruct-1m,exact-match,qwen2,2024-09,not_reasoning,not_reasoning,
qwen3-14b@iq4_xs-thinking,exact-match,qwen3,2025-04,reasoning,reasoning,
qwen3-30b-a3b-thinking@q4_k_m,exact-match,qwen3,2025-07,reasoning,reasoning,
qwen3-32b-cerebras,metadata-only,qwen3,2025-04,reasoning,reasoning,
qwen3-4b-thinking@q8,exact-match,qwen3,2025-07,reasoning,reasoning,
qwen3-next-80b-a3b,exact-match,qwen3,2025-09,not_reasoning,not_reasoning,
qwen3.5-9b@q8_0,exact-match,qwen3,2026-03,not_reasoning,not_reasoning,
qwq-32b,exact-match,qwq,2025-03,reasoning,reasoning,
qwq-32b-preview@q4_k_m,exact-match,qwq,2025-03,reasoning,reasoning,
ring-mini-2.0@q8_0,exact-match,ring-mini-2,2025-08,reasoning,reasoning,
sky-t1-32b-preview,exact-match,sky,2025-01,reasoning,reasoning,
zai.glm-5,exact-match,zai,2026-02,reasoning,reasoning,
