Model,Score,90% CI,llm_chess_model
"DeepSeek-V2 (MoE-236B, May 2024)",125,NA,
GPT-4o (Nov 2024),125,NA,gpt-4o-2024-11-20
GPT-4o (Aug 2024),124,NA,gpt-4o-2024-08-06
Gemini 1.5 Pro (Feb 2024),123,NA,gemini-1.5-pro-preview
phi-3-small 7.4B,123,(115 - 127),
Gemini 1.5 Flash (May 2024),123,(116 - 126),gemini-1.5-flash-001
Gemma 2 27B,123,(116 - 125),gemma-2-27b-it@q6_k_l
GPT-4 (Jun 2023),122,NA,gpt-4
Gemini 1.5 Pro (May 2024),122,NA,gemini-1.5-pro-preview
phi-3-medium 14B,122,(116 - 126),
Mixtral 8x22B,121,(114 - 124),
Claude Instant,121,(112 - 125),
Mistral Large,121,(114 - 124),
Claude 3 Sonnet,120,(112 - 124),claude-3-sonnet
Gemma 2 9B,120,(109 - 122),gemma-2-9b-it-8bit
Claude 2,120,(113 - 124),claude-2
Qwen2.5-Coder-32B,120,(109 - 127),
Llama 3-70B,120,(96 - 125),llama-3-70b-instruct-awq
Mixtral 8x7B,119,(110 - 121),
Mistral NeMo,119,(109 - 123),mistral-nemo-12b-instruct
Claude 2.1,119,(109 - 121),claude-2-1
Claude 3 Haiku,118,(109 - 122),claude-3-haiku
Yi-34B,118,(110 - 122),
phi-3-mini 3.8B,118,(106 - 121),
Gemini 1.0 Pro,117,(111 - 121),
Stable Beluga 2,117,(112 - 120),
Llama 3-8B,117,(109 - 120),llama3-8b-8192
Llama 3.1-8B,116,(100 - 121),llama3.1-8b
Llama 2-70B,114,(106 - 118),
GPT-3.5 Turbo (Jun 2023),114,(106 - 120),gpt-35-turbo-0613
Qwen2.5-Coder (7B),113,(102 - 121),
Qwen-14B,113,(104 - 118),
Falcon-180B,113,(106 - 122),
Mistral 7B v0.1,112,(101 - 116),
Gemma 7B,112,(105 - 117),
LLaMA-65B,110,(103 - 114),
Falcon 2 11B,110,(101 - 118),
Phi-2,108,(79 - 114),
LLaMA-33B,107,(99 - 112),
Nemotron-4 15B,107,(98 - 114),
Qwen-7B,107,(93 - 113),
GPT-3.5 Turbo (Nov 2023),107,NA,gpt-35-turbo-1106
Llama 2-13B,106,(100 - 112),
Llama 2-34B,105,(96 - 111),
Yi 6B,105,(96 - 110),
Falcon-40B,104,(93 - 110),
GPT-3.5 Turbo (Jan 2024),104,NA,gpt-35-turbo-0125
Eurus-2-7B-PRIME,NaN,NA,
Qwen2.5-Coder (1.5B),103,(89 - 111),
Baichuan2-13B,103,(91 - 110),
INTELLECT-1,101,NA,
MPT-30B,100,(89 - 107),
LLaMA-13B,100,(89 - 107),
Llama 2-7B,98,(87 - 105),llama-2-7b-chat
DeepSeek Coder 33B,96,NA,
Baichuan 2-7B,96,(83 - 105),
LLaMA-7B,95,(85 - 104),
Gemma 2B,94,(82 - 102),
Falcon-7B,94,(79 - 102),
MPT-7B,93,(79 - 102),
XGen-7B,91,(77 - 100),
Baichuan1-7B,90,(77 - 100),
DeepSeek Coder 6.7B,90,NA,
Phi-1.5,90,(53 - 103),
Dolly 2.0-12b,86,(68 - 97),
Cerebras-GPT-13B,78,(52 - 90),
DeepSeek Coder 1.3B,62,NA,
StarCoder 2 3B,NaN,NA,
StarCoder 2 7B,NaN,NA,
StarCoder 2 15B,NaN,NA,
InternVL2_5-78B,NaN,NA,
NVILA 8B,NaN,NA,
Gemini 2.5 Flash-Lite (Jun 2025),NaN,NA,
