model,1m_prompt,1m_completion,date_released,reasoning_status,comment,mode_family,reasoning_level
deephermes-3-llama-3-8b-preview@q8, 0.40, 0.60, 2024-07,not_reasoning,Assuming AWS price for llama-3-instruct-8b,deephermes-3-llama-3-8b-preview@q8,none
deepseek-V3.2_non-reasoning, 0.28, 0.42, 2025-12,not_reasoning,DeepSeek official API pricing for V3.2 cache-miss input,deepseek-V3.2,none
DeepSeek-V3.2-Speciale, 0.28, 0.42, 2025-12,reasoning,DeepSeek official release says same pricing as V3.2,DeepSeek-V3.2-Speciale,default
deepseek-chat, 0.27, 1.10, 2024-12,not_reasoning,,deepseek-chat,none
deepseek-v3-0324,0.27, 1.10, 2024-12,not_reasoning,,deepseek-v3-0324,none
deepseek-chat-0324, 0.27, 1.10, 2025-03,not_reasoning,,deepseek-chat-0324,none
deepseek-reasoner, 0.55, 2.19, 2025-01,reasoning,,deepseek-reasoner,default
deepseek-r1,0.55, 2.19, 2025-01,reasoning,,deepseek-r1,default
deepseek-r1-distill-qwen-14b@q8_0, 0.05, 0.2, 2025-01,reasoning,Assuming Alibiba Qwen-Turbo price divided by 2,deepseek-r1-distill-qwen-14b@q8_0,default
deepseek-r1-distill-qwen-32b@q4_k_m, 0.05,0.2, 2025-01,reasoning,Assuming Alibiba Qwen-Turbo price,deepseek-r1-distill-qwen-32b@q4_k_m,default
gemini-1.5-flash-001, 0.07, 0.30, 2024-05,not_reasoning,,gemini-1.5-flash-001,none
gemini-1.5-pro-preview, 3.50, 10.50, 2024-04,not_reasoning,Assumign price for gemini-1.5-pro,gemini-1.5-pro-preview,none
gemini-2.0-flash-001,0.10, 0.40, 2025-02,not_reasoning,,gemini-2.0-flash-001,none
gemini-2.0-flash-exp,0.10, 0.40, 2024-12,not_reasoning,Assuming price for gemini-2.0-flash-001,gemini-2.0-flash-exp,none
gemini-2.0-flash-lite-001, 0.075, 0.30, 2025-02,not_reasoning,,gemini-2.0-flash-lite-001,none
gemini-2.0-flash-lite-preview, 0.075, 0.30, 2025-02,not_reasoning,Assuming price for gemini-2.0-flash-lite-001,gemini-2.0-flash-lite-preview,none
gemini-2.0-flash-thinking-exp-01-21, 0.07, 0.30, 2025-01,reasoning,Assuming price for gemini-2.0-flash-001,gemini-2.0-flash-thinking-exp-01-21,default
gemini-2.0-flash-thinking-exp-1219, 0.07, 0.30, 2024-12,reasoning,Assuming price for gemini-2.0-flash-001,gemini-2.0-flash-thinking-exp-1219,default
gemini-2.5-flash, 0.3, 2.5, 2025-06,reasoning,,gemini-2.5-flash,default
gemini-2.5-pro-preview-03-25, 1.25, 10.00, 2025-04,reasoning,,gemini-2.5-pro-preview-03-25,default
gemini-2.5-pro-preview-05-06, 1.25, 10.00, 2025-05,reasoning,,gemini-2.5-pro-preview-05-06,default
gemini-2.5-pro, 1.25, 10.00, 2025-06,reasoning,,gemini-2.5-pro,default
gemini-3-pro-preview, 2.0, 12.0, 2025-11, reasoning,,gemini-3-pro-preview,default
gemini-3-pro-preview-high, 2.0, 12.0, 2025-11, reasoning,,gemini-3-pro-preview,high
gemini-3-flash-preview, 0.3, 2.5, 2025-12, reasoning,,gemini-3-flash-preview,default
gemma-2-27b-it@q6_k_l, 0.27, 0.27, 2024-06,not_reasoning,Assuming Deepinfra price,gemma-2-27b-it@q6_k_l,none
gemma-2-9b-it-8bit, 0.03,0.06, 2024-06,not_reasoning,Assuming Deepinfra price,gemma-2-9b-it-8bit,none
gemma2-9b-it, 0.2, 0.2, 2024-06,not_reasoning,Assuming Groq price,gemma2-9b-it,none
gpt-35-turbo-0125, 0.50, 1.50, 2024-01,not_reasoning,,gpt-35-turbo-0125,none
gpt-35-turbo-0301, 0.50, 1.50, 2023-03,not_reasoning,,gpt-35-turbo-0301,none
gpt-35-turbo-0613, 0.50, 1.50, 2023-06,not_reasoning,,gpt-35-turbo-0613,none
gpt-35-turbo-1106, 0.50, 1.50, 2023-11,not_reasoning,,gpt-35-turbo-1106,none
gpt-4, 30.00, 60.00, 2023-06,not_reasoning,,gpt-4,none
gpt-4-32k, 60.00, 120.00, 2023-06,not_reasoning,,gpt-4-32k,none
gpt-4-turbo, 10, 30, 2024-04,not_reasoning,,gpt-4-turbo,none
gpt-4o-2024-05-13, 2.5, 10, 2024-05,not_reasoning,,gpt-4o-2024-05-13,none
gpt-4o-2024-08-06, 2.5, 10, 2024-08,not_reasoning,,gpt-4o-2024-08-06,none
gpt-4o-2024-11-20, 2.5, 10, 2024-11,not_reasoning,,gpt-4o-2024-11-20,none
gpt-4o-mini, 0.15, 0.60, 2024-07,not_reasoning,,gpt-4o-mini,none
gpt-4.5-preview, 75, 150, 2025-02,not_reasoning,,gpt-4.5-preview,none
gpt-4.1-nano, 0.1, 0.4, 2025-04,not_reasoning,,gpt-4.1-nano,none
gpt-4.1-mini, 0.4, 1.6, 2025-04,not_reasoning,,gpt-4.1-mini,none
gpt-4.1, 2.0, 8.0, 2025-04,not_reasoning,,gpt-4.1,none
gpt-5-low, 1.25, 10.00, 2025-08,reasoning,,gpt-5,low
gpt-5-medium, 1.25, 10.00, 2025-08,reasoning,,gpt-5,medium
gpt-5-high, 1.25, 10.00, 2025-08,reasoning,,gpt-5,high
gpt-5-codex-low, 1.25, 10.00, 2025-09,reasoning,,gpt-5-codex,low
gpt-5-codex-medium, 1.25, 10.00, 2025-09,reasoning,,gpt-5-codex,medium
gpt-5-codex-high, 1.25, 10.00, 2025-09,reasoning,,gpt-5-codex,high
gpt-5-mini-low, 0.25, 2.00, 2025-08,reasoning,,gpt-5-mini,low
gpt-5-mini-medium, 0.25, 2.00, 2025-08,reasoning,,gpt-5-mini,medium
gpt-5-mini-high, 0.25, 2.00, 2025-08,reasoning,,gpt-5-mini,high
gpt-5-nano-low, 0.05, 0.40, 2025-08,reasoning,,gpt-5-nano,low
gpt-5-nano-medium, 0.05, 0.40, 2025-08,reasoning,,gpt-5-nano,medium
gpt-5-nano-high, 0.05, 0.40, 2025-08,reasoning,,gpt-5-nano,high
gpt-5-chat, 1.25, 10.00, 2025-08,not_reasoning,,gpt-5-chat,none
gpt-5.1-low, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1,low
gpt-5.1-medium, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1,medium
gpt-5.1-high, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1,high
gpt-5.1-chat, 1.25, 10.00, 2025-11,not_reasoning,,gpt-5.1-chat,none
gpt-5.1-codex-low, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1-codex,low
gpt-5.1-codex-medium, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1-codex,medium
gpt-5.1-codex-high, 1.25, 10.00, 2025-11,reasoning,,gpt-5.1-codex,high
gpt-5.1-codex-mini-low, 0.25, 2.00, 2025-11,reasoning,,gpt-5.1-codex-mini,low
gpt-5.1-codex-mini-medium, 0.25, 2.00, 2025-11,reasoning,,gpt-5.1-codex-mini,medium
gpt-5.1-codex-mini-high, 0.25, 2.00, 2025-11,reasoning,,gpt-5.1-codex-mini,high
gpt-5.2-chat, 1.75, 14.00, 2025-12,not_reasoning,,gpt-5.2-chat,none
gpt-5.2-low, 1.75, 14.00, 2025-12,reasoning,,gpt-5.2,low
gpt-5.2-medium, 1.75, 14.00, 2025-12,reasoning,,gpt-5.2,medium
gpt-5.2-high, 1.75, 14.00, 2025-12,reasoning,,gpt-5.2,high
gpt-5.3-codex-low, 1.75, 14.00, 2026-02,reasoning,OpenAI official pricing for GPT-5.3-Codex,gpt-5.3-codex,low
gpt-5.3-codex-medium, 1.75, 14.00, 2026-02,reasoning,OpenAI official pricing for GPT-5.3-Codex,gpt-5.3-codex,medium
gpt-5.3-codex-high, 1.75, 14.00, 2026-02,reasoning,OpenAI official pricing for GPT-5.3-Codex,gpt-5.3-codex,high
gpt-5.5-low, 5.00, 30.00, 2026-04,reasoning,OpenAI official pricing for GPT-5.5,gpt-5.5,low
gpt-5.5-medium, 5.00, 30.00, 2026-04,reasoning,OpenAI official pricing for GPT-5.5,gpt-5.5,medium
gpt-5.5-high, 5.00, 30.00, 2026-04,reasoning,OpenAI official pricing for GPT-5.5,gpt-5.5,high
o1-preview, 16.5, 66, 2024-09,reasoning,Azure OpenAI (price is higher than from OpenAI),o1-preview,default
o1-low, 15, 60, 2024-12,reasoning,,o1,low
o1-medium, 15, 60, 2024-12,reasoning,,o1,medium
o1-high, 15, 60, 2024-12,reasoning,,o1,high
o1-mini, 3.3, 13.2, 2024-09,reasoning,Azure OpenAI (price is higher than from OpenAI),o1-mini,default
o3-mini-low, 1.1, 4.4, 2025-01,reasoning,,o3-mini,low
o3-mini-medium, 1.1, 4.4, 2025-01,reasoning,,o3-mini,medium
o3-mini-high, 1.1, 4.4, 2025-01,reasoning,,o3-mini,high
o3-low, 10, 40, 2025-04,reasoning,,o3,low
o3-medium, 10, 40, 2025-04,reasoning,,o3,medium
o3-high, 10, 40, 2025-04,reasoning,,o3,high
o3, 10, 40, 2025-04,reasoning,,o3,default
o4-mini, 1.1, 4.4, 2025-04,reasoning,,o4-mini,default
o4-mini-low, 1.1, 4.4, 2025-04,reasoning,,o4-mini,low
o4-mini-medium, 1.1, 4.4, 2025-04,reasoning,,o4-mini,medium
o4-mini-high, 1.1, 4.4, 2025-04,reasoning,,o4-mini,high
o1-mini-low, 1.1, 4.4, 2025-04,reasoning,,o1-mini,low
o1-mini-medium, 1.1, 4.4, 2025-04,reasoning,,o1-mini,medium
o1-mini-high, 1.1, 4.4, 2025-04,reasoning,,o1-mini,high
gpt-oss-120b, 0.15, 0.75, 2025-08,reasoning, Groq price,gpt-oss-120b,default
gpt-oss-20b, 0.1, 0.5, 2025-08,reasoning, Groq price,gpt-oss-20b,default
kimi-k2-instruct, 1, 3, 2025-07,not_reasoning, Groq price,kimi-k2-instruct,none
qwen-3-235b-a22b-instruct-2507, 0.6, 1.2, 2025-07,not_reasoning, Cerebras price,qwen-3-235b-a22b-instruct-2507,none
llama-4-scout-17b-16e-instruct, 0.65, 0.85, 2025-04,not_reasoning, Cerebras price,llama-4-scout-17b-16e-instruct,none
llama-4-maverick-17b-128e-instruct, 0.2, 0.6, 2025-04,not_reasoning, Cerebras price,llama-4-maverick-17b-128e-instruct,none
qwen3-30b-a3b-thinking@q4_k_m, 0.29, 0.59, 2025-07,reasoning, Assuming price for Qwen3 32B 131k at Groq,qwen3-30b-a3b@q4_k_m,default
granite-3.1-8b-instruct, 0.20, 0.20, 2024-12,not_reasoning,Assuming price from IBM watsonx.ai,granite-3.1-8b-instruct,none
grok-2, 2, 10, 2024-08,not_reasoning,,grok-2,none
internlm3-8b-instruct, 0.40, 0.60, 2025-01,not_reasoning,Assuming AWS price for llama-3-instruct-8b,internlm3-8b-instruct,none
google_gemma-3-12b-it@iq4_xs,,,2025-03,not_reasoning,Local quantized model,google_gemma-3-12b-it@iq4_xs,none
google_gemma-3-12b-it@q8_0,,,2025-03,not_reasoning,Local quantized model,google_gemma-3-12b-it@q8_0,none
google_gemma-3-27b-it@iq4_xs,,,2025-03,not_reasoning,Local quantized model ,google_gemma-3-27b-it@iq4_xs,none
llama-2-7b-chat,0.03,0.06,2023-06,not_reasoning, DeepInfra price for LLama 3,llama-2-7b-chat,none
llama-3-70b-instruct-awq,0.23,0.4,2024-04,not_reasoning, DeepInfra price for LLama 3 70B,llama-3-70b-instruct-awq,none
llama-3.1-tulu-3-8b@q8_0,0.03,0.06,2024-11,not_reasoning,  DeepInfra price for LLama 3,llama-3.1-tulu-3-8b@q8_0,none
llama-3.3-70b,0.23,0.4,2024-12,not_reasoning, DeepInfra price,llama-3.3-70b,none
llama3-8b-8192,0.03,0.06,2024-04,not_reasoning, DeepInfra price ,llama3-8b-8192,none
llama3.1-8b,0.03,0.06,2024-07,not_reasoning, DeepInfra price,llama3.1-8b,none
llama-4-scout-cerebras, 0.65, 0.85, 2025-04,not_reasoning, Cerebras price,llama-4-scout-cerebras,none
qwen3-32b-cerebras, 0.4, 0.8, 2025-04,reasoning, Cerebras price,qwen3-32b-cerebras,default
qwen3-next-80b-a3b,0.15,6.00,2025-09,not_reasoning,,qwen3-next-80b-a3b,none
minimax-m2,0.3,1.2,2025-10,not_reasoning, technicahlly it doesn't have reasoning section like other models and has smth called interleaved reasoning,minimax-m2,none
ministral-8b-instruct,0.1,0.1,2024-10,not_reasoning,Assuming Mistral API pricing,ministral-8b-instruct,none
mistral-nemo-12b-instruct,0.15,0.15,2024-07,not_reasoning,Assuming Mistral API pricing,mistral-nemo-12b-instruct,none
ministral-3-14b-reasoning@q8,0.2,0.2,2025-12,reasoning,Assuming Mistral API pricing,ministral-3-14b@q8,default
mistral-small-24b-instruct@q4_k_m,,,2025-01,not_reasoning,Local quantized model ,mistral-small-24b-instruct@q4_k_m,none
mistral-small-instruct,0.03,0.06,2024-09,not_reasoning, DeepInfra price,mistral-small-instruct,none
mistral-large-3-675b-instruct,2.00,6.00,2025-12,not_reasoning,,mistral-large-3-675b-instruct,none
nemotron-3-nano@q3_k_l,0.03,0.06,2025-12,not_reasoning, Assuming DeepInfra price for Misrtral Small,nemotron-3-nano@q3_k_l,none
phi-4,0.05,0.1,2025-03,not_reasoning, DeepInfra price,phi-4,none
qwen-max, 1.6, 6.4, 2025-01,not_reasoning, Alibaba Cloud price,qwen-max,none
qwen-plus, 0.4, 1.2, 2025-01,not_reasoning, Alibaba Cloud price,qwen-plus,none
qwen-turbo, 0.05, 0.2, 2024-11,not_reasoning, Alibaba Cloud price,qwen-turbo,none
qwen2.5-14b-instruct-1m,0.79,0.79,2024-09,not_reasoning, Groq price,qwen2.5-14b-instruct-1m,none
qwen2.5-14b-instruct@q8_0,0.79,0.79,2024-09,not_reasoning, Groq price,qwen2.5-14b-instruct@q8_0,none
qwen2.5-72b-instruct,0.13,0.4,2024-09,not_reasoning, DeepInfra price,qwen2.5-72b-instruct,none
qwen2.5-7b-instruct-1m,0.01,0.03,2024-09,not_reasoning, Nebius Base price,qwen2.5-7b-instruct-1m,none
qwq-32b,0.15,0.2,2025-03,reasoning, DeepInfra price,qwq-32b,default
qwq-32b-preview@q4_k_m,0.15,0.2,2025-03,reasoning, DeepInfra price for QwQ 32B,qwq-32b-preview@q4_k_m,default
sky-t1-32b-preview,0.15,0.2,2025-01,reasoning, DeepInfra price for QwQ 32B,sky-t1-32b-preview,default
mercury-coder-small, 0.25, 1, 2025-04,not_reasoning,,mercury-coder-small,none
grok-3-mini-beta, 0.3, 0.5, 2025-02,not_reasoning,,grok-3-mini-beta,none
grok-3-mini-fast-beta, 0.6, 4.0, 2025-02,not_reasoning,,grok-3-mini-fast-beta,none
grok-3-mini-low, 0.3, 0.5, 2025-02,reasoning,,grok-3-mini,low
grok-3-mini-high, 0.3, 0.5, 2025-02,reasoning,,grok-3-mini,high
grok-3-beta, 3, 15, 2025-02,not_reasoning,,grok-3-beta,none
grok-3-fast-beta, 5, 25, 2025-02,not_reasoning,,grok-3-fast-beta,none
grok-4-fast-non-reasoning, 0.20, 0.50, 2025-07,not_reasoning,xAI official pricing,grok-4-fast,none
grok-4-fast-reasoning, 0.20, 0.50, 2025-07,reasoning,xAI official pricing,grok-4-fast,default
grok-4-1-fast-non-reasoning, 0.20, 0.50, 2025-11,not_reasoning,xAI official pricing,grok-4-1-fast,none
grok-4-1-fast-reasoning, 0.20, 0.50, 2025-11,reasoning,xAI official pricing,grok-4-1-fast,default
k2-think@iq4_xs,0.15,0.2,2025-09,reasoning, Assuming Deepinfra price for Qwen3 32B,k2-think@iq4_xs,default
kimi-k2.5, 0.60, 2.50, 2026-01,reasoning,Closest public pricing found was Azure Kimi K2 Thinking Global,kimi-k2.5,default
glm-4.7-flash@q4,0.05,0.1,2026-01,reasoning, Assuming DeepInfra price for Qwen3 32B,glm-4.7-flash@q4,default
lvl-1_vs_3x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_3x-o4-mini-2025-04-16-low_o4-mini-2025-04-16,medium
lvl-1_vs_5x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_5x-o4-mini-2025-04-16-low_o4-mini-2025-04-16,medium
lvl-1_vs_7x-o4-mini-2025-04-16-low_o4-mini-2025-04-16-medium, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_7x-o4-mini-2025-04-16-low_o4-mini-2025-04-16,medium
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-10000, 3, 15, 2025-02,unknown,,lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-10000,unknown
lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-5000, 3, 15, 2025-02,unknown,,lvl-1_vs_claude-3-7-sonnet-20250219-thinking-budget-5000,unknown
lvl-1_vs_gemini-25pro-t03_mini41-t00_mini41-t03, 0.3, 0.5, 2025-02,unknown,,lvl-1_vs_gemini-25pro-t03_mini41-t00_mini41-t03,unknown
lvl-1_vs_grok-3-mini-beta-high, 0.3, 0.5, 2025-02,unknown,,lvl-1_vs_grok-3-mini-beta,high
lvl-1_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-1_vs_o3-2025-04-16,low
lvl-1_vs_o3-mini-2025-01-31-high, 1.1, 4.4, 2025-01,unknown,,lvl-1_vs_o3-mini-2025-01-31,high
lvl-1_vs_o3-mini-2025-01-31-low, 1.1, 4.4, 2025-01,unknown,,lvl-1_vs_o3-mini-2025-01-31,low
lvl-1_vs_o3-mini-2025-01-31-medium, 1.1, 4.4, 2025-01,unknown,,lvl-1_vs_o3-mini-2025-01-31,medium
lvl-1_vs_o4-mini-2025-04-16-high, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_o4-mini-2025-04-16,high
lvl-1_vs_o4-mini-2025-04-16-low, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_o4-mini-2025-04-16,low
lvl-1_vs_o4-mini-2025-04-16-medium, 1.1, 4.4, 2025-04,unknown,,lvl-1_vs_o4-mini-2025-04-16,medium
lvl-10_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-10_vs_o3-2025-04-16,low
lvl-10_vs_o3-2025-04-16-medium_timeout-60m, 10, 40, 2025-04,unknown,,lvl-10_vs_o3-2025-04-16-medium_timeout-60m,unknown
lvl-2_vs_grok-3-mini-beta-high, 0.3, 0.5, 2025-02,unknown,,lvl-2_vs_grok-3-mini-beta,high
lvl-2_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-2_vs_o3-2025-04-16,low
lvl-2_vs_o3-mini-2025-01-31-high, 1.1, 4.4, 2025-01,unknown,,lvl-2_vs_o3-mini-2025-01-31,high
lvl-2_vs_o4-mini-2025-04-16-high, 1.1, 4.4, 2025-04,unknown,,lvl-2_vs_o4-mini-2025-04-16,high
lvl-2_vs_o4-mini-2025-04-16-high_timeout-20m, 1.1, 4.4, 2025-04,unknown,,lvl-2_vs_o4-mini-2025-04-16-high_timeout-20m,unknown
lvl-2_vs_o4-mini-2025-04-16-high_timeout-60m, 1.1, 4.4, 2025-04,unknown,,lvl-2_vs_o4-mini-2025-04-16-high_timeout-60m,unknown
lvl-3_vs_grok-3-mini-beta-high, 0.3, 0.5, 2025-02,unknown,,lvl-3_vs_grok-3-mini-beta,high
lvl-3_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-3_vs_o3-2025-04-16,low
lvl-4_vs_grok-3-mini-beta-high, 0.3, 0.5, 2025-02,unknown,,lvl-4_vs_grok-3-mini-beta,high
lvl-4_vs_grok-3-mini-fast-beta-high, 0.6, 4.0, 2025-02,unknown,,lvl-4_vs_grok-3-mini-fast-beta,high
lvl-4_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-4_vs_o3-2025-04-16,low
lvl-5_vs_grok-3-mini-beta-high, 0.3, 0.5, 2025-02,unknown,,lvl-5_vs_grok-3-mini-beta,high
lvl-5_vs_grok-3-mini-fast-beta-high, 0.6, 4.0, 2025-02,unknown,,lvl-5_vs_grok-3-mini-fast-beta,high
lvl-5_vs_o3-2025-04-16-low, 10, 40, 2025-04,unknown,,lvl-5_vs_o3-2025-04-16,low
ring-mini-2.0@q8_0,,,2025-08,reasoning,Local quantized model,ring-mini-2.0@q8_0,default
gpt-oss-20b-high, 0.1, 0.5, 2025-08,reasoning, Groq price,gpt-oss-20b,high
gpt-oss-120b-low, 0.15, 0.75, 2025-08,reasoning, Groq price,gpt-oss-120b,low
qwen3-4b-thinking@q8,0.05,0.2,2025-07,reasoning,Assuming low price for small local model,qwen3-4b@q8,default
gpt-oss-120b-medium, 0.15, 0.75, 2025-08,reasoning, Groq price,gpt-oss-120b,medium
gpt-oss-20b-medium, 0.1, 0.5, 2025-08,reasoning, Groq price,gpt-oss-20b,medium
gpt-oss-20b-low, 0.1, 0.5, 2025-08,reasoning, Groq price,gpt-oss-20b,low
claude-sonnet-4-5, 3, 15, 2025-09,not_reasoning,,claude-sonnet-4-5,none
gpt-oss-120b-high, 0.15, 0.75, 2025-08,reasoning, Groq price,gpt-oss-120b,high
claude-haiku-4-5, 1, 5, 2025-10,not_reasoning,,claude-haiku-4-5,none
claude-3-7-sonnet, 3, 15, 2025-02,not_reasoning,,claude-3-7-sonnet,none
gemma-3-4b-it@iq4_qs,0.03,0.06,2025-03,not_reasoning,Local quantized model,gemma-3-4b-it@iq4_qs,none
magistral-small, 0.1, 0.3, 2025-06,not_reasoning,Assuming Mistral Small pricing,magistral-small,none
claude-3-5-sonnet, 3, 15, 2024-07,not_reasoning,,claude-3-5-sonnet,none
gemma-3-4b-it@iq4_qs@PGN,,,2025-03,not_reasoning,Local quantized model,gemma-3-4b-it@iq4_qs@PGN,none
claude-3-7-sonnet_thinking_2048, 3, 15, 2025-02,reasoning,,claude-3-7-sonnet,budget_2048
grok-3-mini-beta-high, 0.3, 0.5, 2025-02,reasoning,,grok-3-mini-beta,high
claude-opus-4_thinking_16000, 15, 75, 2025-05,reasoning,,claude-opus-4,budget_16000
o4-mini-low@PGN, 1.1, 4.4, 2025-04,reasoning,,o4-mini@PGN,low
qwen3-14b@iq4_xs-thinking,0.1,0.2,2025-04,reasoning,Assuming low price for local quantized model,qwen3-14b@iq4_xs,default
google_gemma-3-4b-it@bf16,,,2025-03,not_reasoning,Local bf16 model,google_gemma-3-4b-it@bf16,none
grok-3-mini-beta-low, 0.3, 0.5, 2025-02,reasoning,,grok-3-mini-beta,low
claude-2, 8, 24, 2023-07,not_reasoning,,claude-2,none
google_gemma-3-4b-it@q8_0,,,2025-03,not_reasoning,Local quantized model,google_gemma-3-4b-it@q8_0,none
non-deepseek-r1-t03_mini41-t10_mini41-t03,0.55, 2.19,2025-01,unknown,Custom ensemble configuration,non-deepseek-r1-t03_mini41-t10_mini41-t03,unknown
claude-2-1, 8, 24, 2023-11,not_reasoning,,claude-2-1,none
non-gemini-25pro-t03_mini41-t00_mini41-t03,0.3, 0.5,2025-04,unknown,Custom ensemble configuration,non-gemini-25pro-t03_mini41-t00_mini41-t03,unknown
qwen-3-32b, 0.4, 0.8, 2025-04,reasoning,Assuming Cerebras price for Qwen3 32B,qwen-3-32b,default
claude-3-haiku, 0.25, 1.25, 2024-03,not_reasoning,,claude-3-haiku,none
amazon.nova-lite-v1, 0.06, 0.24, 2024-12,not_reasoning,AWS Bedrock price,amazon.nova-lite-v1,none
deepseek-v3, 0.27, 1.10, 2024-12,not_reasoning,Same as deepseek-chat,deepseek-v3,none
deepseek-r1-distill-qwen-32b@q4_k_m|isol_temp06, 0.05, 0.2, 2025-01,reasoning,Assuming Alibaba Qwen-Turbo price,deepseek-r1-distill-qwen-32b@q4_k_m|isol_temp06,default
amazon.nova-pro-v1, 0.8, 3.2, 2024-12,not_reasoning,AWS Bedrock price,amazon.nova-pro-v1,none
chat-bison-32k@002,0.5,0.5,2023-10,not_reasoning,Google PaLM deprecated model,chat-bison-32k@002,none
qwen2.5-7b-chess-mmxl@f16,0.01,0.03,2025-06,not_reasoning, Nebius Base price,qwen2.5-7b-chess-mmxl@f16,none
claude-opus-4-6, 5, 25, 2026-02,not_reasoning,Anthropic official pricing for Claude Opus 4.6,claude-opus-4-6,none
claude-sonnet-4-6, 3, 15, 2026-02,not_reasoning,Anthropic official pricing for Claude Sonnet 4.6,claude-sonnet-4-6,none
claude-opus-4-7@default, 5, 25, 2026-04,unknown,Anthropic official pricing; default adaptive-thinking behavior ambiguous in Google Cloud logs,claude-opus-4-7@default,unknown
claude-opus-4-7_adaptive-thinking-high, 5, 25, 2026-04,reasoning,Anthropic official pricing,claude-opus-4-7,high
claude-opus-4-8_adaptive-thinking-high, 5, 25, 2026-05,reasoning,Anthropic official pricing,claude-opus-4-8,high
